DUT,XCoord,YCoord,Bin,subject_01,subject_02,subject_03,subject_04,subject_06,subject_07,subject_08,subject_09,subject_10,subject_11,subject_13,subject_14,subject_15,subject_16,subject_17,subject_18,subject_19,subject_20,subject_21,subject_22,subject_23,subject_24,subject_25,subject_27,subject_28,subject_29,subject_30,subject_31,subject_32,subject_33,subject_34,subject_35,subject_36,subject_37,subject_39,subject_40,subject_41,subject_42,subject_43,subject_45,subject_46,subject_47,subject_48,subject_49
196,2.0,10.0,1.0,0.554,0.496,0.338,0.465,0.005,1.682,0.468,0.206,-1.678,0.443,0.626,-1.567,-1.061,0.666,-0.124,-0.021,-1.361,0.168,-0.212,1.013,1.078,-0.752,0.375,1.690,0.343,1.070,0.072,1.589,-1.666,0.518,-0.133,0.085,-0.445,-1.417,-0.361,-1.175,0.746,0.512,0.128,0.652,0.085,0.008,0.117,-0.985
197,17.0,4.0,1.0,0.695,1.184,0.992,-0.662,-0.051,1.273,0.925,0.749,-0.168,-1.369,1.305,-0.095,1.442,0.623,0.068,0.098,0.293,-1.485,0.499,1.215,2.207,-1.033,1.177,1.359,-0.565,-0.433,-0.614,1.221,-0.566,-0.069,0.584,1.019,1.221,0.326,0.553,0.522,1.282,-1.700,0.199,0.472,0.537,-1.696,0.352,-0.580
198,27.0,6.0,1.0,-0.130,1.426,-1.487,0.089,-0.644,0.785,0.208,0.659,-1.532,-0.966,1.683,-1.709,2.245,0.285,-0.382,0.660,0.605,0.644,-0.634,0.052,1.074,-0.357,1.670,-0.266,-2.447,1.888,-0.460,-1.229,0.190,-0.021,1.970,0.378,-0.594,0.418,-0.020,0.238,-0.012,1.599,-0.433,1.647,-0.042,-0.905,-0.299,-2.142
199,11.0,3.0,1.0,-2.157,1.966,0.670,-0.259,-0.180,0.984,-0.873,1.045,-1.104,-1.114,-0.461,0.741,1.126,1.214,0.052,1.958,0.110,-0.670,-0.961,-0.537,2.416,-1.419,-0.608,-0.379,-2.235,0.374,2.205,-0.225,-0.302,0.802,1.398,1.148,-1.310,-0.066,-0.150,-0.495,0.542,-0.596,0.720,-1.225,-0.369,0.006,0.787,-2.029
200,18.0,5.0,12.0,0.244,0.292,0.080,-0.505,-0.502,0.829,0.470,1.901,-1.801,-0.385,1.286,-0.540,1.265,0.696,10.020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,7.0,8.0,1.0,0.010,0.570,0.726,0.503,-1.501,1.354,2.306,1.795,-0.300,-2.301,1.315,0.055,1.018,0.257,1.183,0.065,-0.546,0.498,-1.587,0.402,0.628,0.082,1.025,0.687,-3.768,0.017,0.464,0.405,-1.514,0.890,-0.089,1.183,-1.609,1.436,-0.177,0.260,0.638,0.904,1.078,0.418,1.463,-0.710,0.442,-0.563
202,1.0,9.0,1.0,-1.340,0.360,0.144,-2.797,-0.313,0.945,-0.916,1.278,-0.276,-0.703,-0.441,-0.819,0.227,0.406,1.198,0.990,0.261,1.411,0.224,0.828,-0.154,0.331,1.551,0.746,-0.111,0.601,0.894,1.252,0.171,-1.425,0.119,0.755,-0.223,0.554,-0.412,-0.448,0.741,-0.284,1.453,1.073,-0.630,-0.501,0.245,-0.949
203,4.0,8.0,1.0,-0.228,0.882,1.005,-1.424,0.125,0.850,-0.074,1.294,0.346,-2.063,1.058,-1.290,0.852,0.166,0.046,1.113,0.065,-1.091,-0.237,0.733,0.289,-1.001,-0.018,0.364,0.460,2.765,0.536,-1.301,-0.847,-0.556,-0.905,-0.015,-0.401,-0.321,-0.180,-0.233,0.882,-1.303,0.440,-0.242,-1.159,-0.666,0.131,-0.316
204,8.0,5.0,1.0,-0.082,1.338,0.920,0.403,0.255,0.889,0.160,0.825,-0.650,-1.897,0.525,-0.863,1.266,0.527,1.421,0.003,0.113,0.895,0.021,1.108,-1.454,-0.537,1.796,1.671,-0.658,1.543,2.130,-0.282,-0.804,0.114,2.197,2.295,-1.198,0.870,-0.593,0.688,0.036,-1.290,0.967,1.101,0.758,-1.188,0.265,1.092
205,20.0,1.0,1.0,0.878,0.179,1.718,-2.944,0.573,0.667,-0.463,1.226,-0.575,-1.505,0.549,0.162,1.885,-0.146,0.933,1.549,-0.448,1.978,-1.165,0.477,0.421,-0.352,1.472,1.311,-1.334,2.292,1.013,0.365,0.749,-0.462,0.496,0.882,-0.297,0.788,-0.432,0.814,0.181,1.443,-0.141,1.422,0.508,-1.616,0.749,-0.917
206,10.0,6.0,1.0,-0.581,1.158,1.253,-1.134,-0.122,-0.099,-1.228,0.119,0.617,-0.377,-0.187,-0.693,-0.535,0.731,0.232,-0.589,0.084,-0.542,-0.739,0.002,0.986,-0.683,-1.100,0.588,-2.362,1.527,0.477,0.792,0.842,0.078,0.028,1.268,-0.407,0.127,1.100,0.116,1.396,1.914,-0.648,-0.284,0.340,0.468,0.426,-1.244
207,11.0,8.0,1.0,0.889,0.141,1.064,0.078,0.280,0.508,-0.896,1.323,-1.257,-0.530,-0.110,-1.687,0.347,0.250,1.052,0.336,1.085,-0.908,-0.449,0.790,1.423,-0.521,0.395,1.213,-0.303,0.350,-0.211,-0.386,-2.735,0.061,0.250,-0.989,-0.073,-0.608,-0.620,-0.320,-0.283,0.558,0.671,0.783,0.550,-0.491,0.084,-1.457
208,4.0,2.0,1.0,0.462,0.436,-0.823,-2.168,0.161,0.702,0.163,2.103,-0.391,0.377,1.004,-1.217,3.104,0.486,-0.695,-1.149,-1.149,0.635,-0.384,-0.053,-0.372,-0.548,0.405,1.786,-1.339,1.991,0.469,-1.045,-0.395,-0.526,1.292,1.346,-1.231,-0.459,0.013,0.108,-0.155,-0.934,0.614,0.199,1.583,-0.100,0.485,0.102
209,33.0,2.0,1.0,0.026,-0.121,1.090,-0.503,-0.003,0.543,-0.321,1.553,-1.241,-0.690,0.914,0.106,-0.177,0.959,0.761,2.413,0.676,1.058,0.844,0.003,0.913,-1.620,1.048,0.591,-0.361,1.359,0.707,-1.169,-2.546,0.440,1.023,1.180,-0.234,-0.717,-0.406,-0.609,-0.116,0.250,1.233,1.000,2.465,0.517,0.188,-1.207
210,11.0,4.0,1.0,-0.369,1.307,0.957,-0.129,0.927,1.865,0.387,1.726,-1.140,-0.871,-0.095,0.239,0.529,1.283,1.142,0.584,-0.541,0.629,0.633,0.982,-0.687,-0.349,1.311,1.584,-0.895,2.983,-0.097,0.364,3.013,0.826,0.694,1.076,-0.457,-1.018,-0.023,-1.269,2.382,2.244,-0.861,-0.576,-0.840,0.180,-0.281,-0.760
211,9.0,8.0,1.0,0.723,0.736,0.653,1.492,-0.622,1.360,-0.744,1.419,-0.114,-1.423,0.471,0.475,0.881,0.652,-0.171,-1.201,0.217,0.008,0.274,0.735,1.577,-1.078,0.551,0.848,-0.375,1.536,0.201,0.072,0.752,0.661,0.359,1.298,-0.477,-0.012,-0.580,-0.050,0.196,0.279,3.395,-1.166,-0.634,-0.020,0.747,-1.510
212,26.0,10.0,1.0,-0.630,0.190,1.603,-0.663,0.562,0.181,-1.500,-0.201,-1.578,-0.436,0.810,-0.870,1.101,-0.066,1.790,0.603,-0.119,0.512,0.134,0.182,0.568,0.236,0.423,0.425,-0.947,0.308,0.183,-0.056,-0.599,-0.395,1.009,1.188,0.011,-0.657,-0.693,0.219,-0.362,2.674,0.156,0.795,0.139,-0.439,-0.311,-1.506
213,10.0,2.0,1.0,0.332,-0.153,-0.454,-1.974,0.534,1.683,0.427,1.589,-0.999,-1.764,1.094,-0.198,0.079,-0.056,1.714,0.444,0.121,0.545,-0.199,0.377,0.854,-0.262,1.545,1.036,-0.573,1.237,2.399,-0.035,-0.789,2.583,1.100,1.145,-1.124,0.059,0.421,0.419,0.468,0.344,-1.202,-0.950,0.208,0.303,-0.771,-2.415
214,10.0,10.0,1.0,0.037,0.171,-0.288,-2.935,-0.017,1.511,-1.128,2.466,-0.703,-0.969,-0.510,-0.040,0.728,0.749,-0.268,0.904,-1.095,2.602,-0.915,0.254,0.812,-0.623,0.110,1.260,-1.028,1.270,0.497,0.257,-1.830,1.405,0.507,1.016,-0.768,1.647,0.700,-1.137,0.355,-0.122,0.308,-1.683,-0.468,-1.099,0.739,0.090
215,21.0,9.0,1.0,-0.945,0.490,0.254,-0.891,-0.170,1.011,0.614,0.032,-0.741,-0.867,1.578,-0.799,0.636,0.242,0.725,-0.801,-0.845,1.517,-0.949,0.437,1.313,-0.017,2.058,1.740,-0.757,2.651,-0.543,0.161,-0.430,-0.154,0.549,-0.327,-0.366,0.718,-0.246,-0.843,0.366,0.173,0.631,-0.789,0.887,-0.843,0.486,-1.619
216,6.0,9.0,1.0,-0.702,0.670,0.664,-0.511,-0.964,0.339,-1.104,1.173,-0.180,-0.692,1.499,0.395,1.907,0.521,0.807,-1.421,-0.237,2.217,-0.480,0.509,-0.127,-0.899,1.897,0.523,-1.699,-0.525,-1.791,1.854,-4.109,-2.314,0.299,1.026,-0.268,-2.039,-0.411,0.679,1.134,0.286,0.938,-1.354,0.188,-0.504,0.818,-1.861
217,17.0,3.0,1.0,1.949,1.637,0.087,-3.105,0.579,0.811,0.748,1.848,-1.411,0.163,1.049,-0.795,0.803,1.027,0.650,2.946,0.009,-0.597,0.357,0.511,0.763,-0.286,1.804,0.087,-2.722,0.923,0.975,0.180,-0.539,2.187,0.750,0.361,-0.382,-0.154,0.578,-1.109,0.532,1.198,-0.918,-1.025,-0.072,-0.900,0.943,1.427
218,20.0,9.0,1.0,0.252,0.668,1.012,-0.383,0.467,0.483,-0.798,0.689,-0.441,0.073,1.622,0.288,2.041,1.195,1.538,1.305,0.451,-0.734,-0.702,0.333,-0.133,-1.106,-0.669,1.053,-2.869,-0.230,1.652,-1.772,-0.394,-0.993,0.742,0.900,0.142,-0.165,-0.054,-0.672,1.016,1.645,0.125,0.554,0.561,-0.311,0.491,-1.844
219,23.0,1.0,1.0,-0.401,0.438,-1.861,-1.530,-0.440,1.464,-0.373,1.026,0.620,-1.813,0.049,-0.376,1.551,1.630,-0.597,0.821,-1.382,1.318,0.063,0.997,0.952,-1.260,0.194,0.887,-1.109,1.363,0.951,0.862,-0.994,-0.180,1.439,0.910,0.740,-0.254,0.283,-1.189,0.688,-0.683,0.484,0.595,0.093,-0.057,0.596,-2.434
220,5.0,7.0,1.0,0.933,0.483,-0.299,-0.884,-0.626,0.402,-0.374,0.467,-1.403,-0.014,-0.199,-1.006,-0.040,0.691,0.504,0.894,0.140,-0.532,-2.088,0.056,1.429,-1.280,0.946,0.275,-0.477,1.254,0.072,-0.158,-0.579,-0.078,0.353,1.029,-0.668,-0.132,0.878,-0.827,-0.273,0.867,-1.077,1.068,0.530,-0.097,0.107,0.062
221,19.0,3.0,1.0,0.317,0.246,-1.106,-0.677,0.201,0.359,-0.310,1.367,0.396,-1.278,0.443,-0.342,1.720,1.397,-0.130,1.281,-1.219,0.103,0.222,0.609,1.915,-0.509,0.996,1.857,-2.265,1.057,1.086,0.091,-0.033,0.699,0.116,0.842,-0.004,1.625,0.566,-0.134,1.439,2.049,0.192,0.501,0.135,-0.208,-0.758,0.592
222,30.0,4.0,1.0,0.224,0.552,-0.194,0.398,-1.024,0.663,-0.300,2.850,0.675,-0.644,1.206,0.981,1.618,1.558,0.706,0.334,0.028,0.036,0.296,0.468,1.552,-0.602,0.925,1.506,-1.217,-0.128,2.568,1.143,0.144,0.653,0.492,0.633,-0.550,0.491,-0.051,0.264,-0.102,1.215,-0.162,-2.345,0.368,-0.365,1.223,-2.735
223,2.0,1.0,1.0,0.245,0.976,-0.311,-1.678,-0.015,2.520,-0.282,-0.002,-0.911,-0.890,0.263,-0.395,-0.006,0.459,0.951,1.395,0.207,-0.061,-0.798,0.359,0.663,0.066,0.289,0.094,-0.730,1.740,-0.215,0.855,-0.531,1.968,1.870,0.717,0.096,-0.129,-0.644,-0.095,0.188,0.057,-0.859,0.111,0.562,-1.623,0.276,-2.127
224,31.0,5.0,1.0,0.709,0.220,0.007,-1.587,-0.499,1.360,-0.313,1.839,-1.326,-1.030,1.901,-1.559,0.215,-0.857,0.736,1.258,-0.172,0.809,-0.100,0.805,1.256,-1.414,0.661,1.314,-1.834,-0.231,0.055,-1.206,-1.501,-0.047,-0.362,1.145,-0.178,2.992,0.572,-1.686,-0.032,1.004,-1.196,-0.495,0.518,-1.172,-0.048,-0.717
225,8.0,8.0,1.0,0.147,0.995,1.434,-1.363,-0.755,0.246,1.164,0.783,0.119,-0.932,0.364,-0.707,1.212,0.273,0.953,-0.824,-0.321,0.500,-1.611,-0.071,2.486,-0.086,0.551,0.705,-1.828,0.617,0.770,0.494,-0.914,0.797,0.555,1.121,-0.604,-1.003,-0.367,-1.621,0.422,0.534,2.487,0.065,-0.106,-0.212,0.704,1.123
226,14.0,9.0,1.0,-0.013,0.185,0.958,-0.675,0.101,-0.553,-2.126,0.900,-1.993,0.619,1.120,0.431,-0.157,0.303,2.363,0.808,-0.632,0.423,0.151,0.271,2.240,-1.304,0.108,0.494,-1.515,0.236,0.590,-0.247,-0.279,0.461,0.891,0.044,-0.472,-0.735,-0.459,-0.963,0.275,1.457,0.454,0.496,0.225,-0.842,0.818,-0.813
227,9.0,6.0,1.0,1.245,1.304,1.671,-2.511,0.116,-0.320,-0.370,0.259,-0.523,-0.505,-0.473,-0.288,1.053,1.091,0.851,0.206,-0.451,1.418,-1.284,0.963,-0.151,0.834,0.450,1.135,-0.684,0.953,-0.198,-1.111,-1.060,-0.235,-1.154,0.580,-0.202,0.145,1.099,0.483,1.194,1.471,-0.843,0.939,1.032,-1.044,0.064,-0.285
228,24.0,3.0,1.0,0.609,-0.033,-0.089,-0.976,-0.248,0.590,-0.226,1.931,0.167,-1.234,-0.250,-0.690,1.306,0.866,1.396,0.221,0.774,0.871,-0.859,-0.358,0.915,-0.554,1.508,0.668,-0.761,0.069,-0.076,0.342,-0.388,0.810,1.542,0.290,-0.738,0.215,-0.547,0.508,0.624,1.241,-0.416,-0.130,-0.302,-0.601,0.530,-1.253
229,18.0,3.0,1.0,0.016,0.806,0.519,1.542,-0.137,-0.699,-0.465,1.283,-1.854,-0.269,-0.685,-0.571,-2.180,0.839,0.854,2.492,-0.575,0.741,-1.096,0.408,1.203,-1.276,0.511,1.322,-0.187,1.285,-0.422,1.163,-0.724,1.159,1.748,0.096,0.802,-0.068,-0.425,0.104,0.402,-0.468,-0.320,0.367,1.824,0.542,0.469,-0.276
230,2.0,5.0,1.0,1.012,0.916,0.765,-2.225,-0.427,0.621,0.171,1.892,-0.890,-0.570,0.352,0.340,0.928,1.034,0.393,0.158,0.590,-0.495,-0.303,0.113,0.538,-1.678,0.962,1.697,-1.268,1.296,1.086,1.355,-0.783,-0.362,0.838,0.602,-0.442,-1.237,0.502,-0.906,0.262,-0.776,-0.124,1.387,0.344,0.187,0.578,-1.369
231,13.0,2.0,1.0,1.186,0.479,-0.183,-0.071,0.540,0.692,-1.105,0.959,0.506,-0.934,0.755,0.091,1.836,0.109,-0.611,0.526,0.020,1.773,0.586,0.800,1.019,-0.048,0.811,1.016,-1.606,0.353,0.172,1.041,-1.807,-0.884,1.063,0.074,-0.560,0.858,0.567,0.628,1.281,0.773,-0.693,-0.688,-0.129,-1.894,-0.370,-0.715
232,26.0,3.0,1.0,0.328,0.615,0.629,-1.211,0.516,2.397,-0.316,1.116,-0.647,-1.363,0.335,0.054,1.763,0.072,0.328,1.027,-1.433,-0.026,1.250,0.684,-0.609,-1.067,0.898,0.821,-1.976,-0.551,0.414,2.579,-0.954,-0.738,1.681,0.572,-0.340,0.134,0.719,-1.407,0.073,1.044,0.189,-1.580,1.892,-0.605,0.239,-4.127
233,22.0,8.0,1.0,-0.271,1.328,0.335,-1.848,-0.199,-0.038,-0.708,0.924,0.812,-1.558,0.512,-0.110,-0.262,0.054,0.487,0.338,-0.134,-1.147,-0.472,0.274,0.312,-0.564,1.707,0.274,-0.757,0.292,-0.148,0.618,-1.762,0.531,1.039,0.028,0.047,-0.081,-0.520,-0.983,0.471,1.153,0.028,-1.116,1.398,0.057,-0.173,0.822
234,15.0,3.0,1.0,1.722,0.868,1.053,0.182,0.159,-0.891,-1.526,1.116,-0.679,-1.189,1.154,0.204,0.546,0.799,2.148,-0.301,-0.671,1.413,1.194,0.822,0.402,-1.272,1.312,-0.217,-0.948,2.344,-0.063,0.727,0.001,1.036,-0.185,0.462,0.124,0.503,0.061,-0.767,0.338,-0.724,-0.227,-0.273,-0.158,-1.203,0.061,-1.051
235,7.0,10.0,1.0,-0.132,0.289,-0.152,-1.610,-0.087,0.805,-0.880,1.603,0.339,-2.121,2.443,-0.168,-0.778,-0.010,1.207,1.429,-1.173,0.040,-0.004,0.055,-1.719,-0.142,0.267,0.501,-0.200,1.223,-0.331,0.854,-1.776,1.100,0.759,1.814,-0.839,-0.559,-0.569,-0.696,0.778,0.365,0.753,-0.532,1.188,-0.431,-0.046,-1.426
236,29.0,1.0,1.0,-1.292,1.246,2.018,-1.419,-0.004,0.737,-1.187,0.185,0.156,0.255,0.866,-0.543,-1.290,1.596,0.878,1.189,-0.805,-0.331,1.283,0.498,2.314,-1.003,-0.289,1.285,-0.604,1.509,1.328,0.708,-0.211,0.413,0.036,0.642,-0.516,-0.572,-0.513,-0.171,0.778,0.547,0.434,0.663,0.834,-0.160,0.417,-2.297
237,3.0,8.0,1.0,-0.115,-0.285,0.618,-0.652,0.496,1.318,0.636,-0.964,-1.218,-1.116,1.287,0.061,2.698,1.272,0.131,-1.051,-0.135,0.176,-0.741,0.115,0.609,-1.429,-0.149,1.903,-0.239,1.015,-1.235,0.806,-0.105,-0.394,1.976,2.527,-0.093,0.174,0.406,0.831,1.148,0.508,-0.980,-0.573,-0.662,0.217,0.015,0.457
238,33.0,5.0,1.0,0.730,-0.019,1.319,-1.685,-0.712,2.532,-0.558,1.351,-1.743,-0.817,1.346,-0.796,0.413,-0.305,0.560,-0.721,-0.813,-0.490,-1.188,0.803,-0.733,-0.610,0.428,0.647,-0.224,1.858,-0.089,-0.156,-0.085,-0.490,0.742,0.183,-1.349,-1.670,0.115,-0.017,0.852,0.568,0.542,-0.456,0.089,1.410,0.862,-1.399
239,25.0,1.0,1.0,0.707,1.062,1.474,-0.974,-1.517,1.792,-1.346,-0.540,-0.341,-1.849,-0.119,1.429,1.301,-0.310,0.038,0.427,-0.315,1.464,0.557,0.067,2.589,0.018,-0.439,0.343,-1.158,0.861,1.583,0.319,0.605,-0.692,0.219,1.299,-0.667,0.665,0.459,0.431,0.201,1.324,0.449,-0.438,1.190,0.884,-0.013,-1.087
240,30.0,1.0,1.0,-0.769,0.864,1.156,1.192,-0.897,0.493,-0.238,0.547,0.290,0.979,0.057,-0.206,-0.915,-0.235,1.761,0.418,-0.249,0.173,0.291,-0.200,0.167,-2.289,1.323,1.089,-0.699,1.407,1.099,0.620,-0.757,0.922,0.210,1.511,-0.102,-1.305,0.727,-1.034,0.276,0.556,1.611,-0.044,1.496,-0.434,0.392,-0.035
241,32.0,8.0,1.0,0.949,0.308,-0.394,0.186,0.363,0.890,-0.221,1.128,-1.173,0.240,2.878,-1.229,-0.863,0.394,-0.442,-0.406,0.066,0.069,-1.098,0.099,0.417,0.188,0.356,1.498,-1.340,1.695,1.096,0.443,-0.647,-0.092,0.563,0.508,-1.193,-0.233,-0.198,-0.352,0.548,-1.698,-0.333,-1.067,1.402,-0.563,0.606,-2.896
242,31.0,6.0,1.0,-0.508,-0.448,0.865,1.469,0.180,1.463,-0.947,0.815,-1.336,-1.510,0.606,-0.171,0.782,0.300,-0.737,-0.519,-0.238,0.251,0.472,1.093,0.903,-1.285,1.386,0.743,-0.981,0.443,-0.594,0.186,-2.220,0.066,0.218,2.024,-0.650,0.341,-0.189,0.004,1.236,0.381,-1.141,0.331,0.021,-0.446,0.573,-0.112
243,11.0,2.0,1.0,0.681,1.315,-0.961,-1.089,-0.536,0.717,-0.777,1.770,-1.608,-0.848,1.173,-0.636,1.713,0.072,1.806,1.794,-0.411,-0.122,-1.308,0.435,1.358,-0.855,0.489,0.213,-0.465,1.405,2.274,1.344,-1.736,1.833,0.543,0.495,-1.137,0.092,0.111,-1.098,1.015,-0.905,-0.085,1.063,0.690,-0.487,0.389,-0.867
244,17.0,6.0,1.0,0.079,0.214,-0.340,-1.387,-0.386,-0.003,0.371,1.093,-2.195,-1.303,-0.480,-1.708,1.137,0.717,-0.065,3.201,-0.313,-2.114,0.402,0.422,1.230,-2.026,0.667,1.646,-0.585,2.147,-0.361,0.398,1.075,-1.138,0.605,0.536,-0.121,1.000,-0.423,-1.487,-0.038,1.097,-0.524,0.122,-0.322,-0.784,1.152,-1.108
245,4.0,9.0,16.0,-0.030,0.344,0.553,-2.072,-0.903,0.585,-0.727,1.023,-0.576,-2.819,0.959,-1.266,-0.940,0.928,-0.984,0.007,-0.110,-1.011,0.820,0.974,0.867,-0.915,0.711,1.920,-0.050,0.935,1.832,-0.939,-0.598,-0.274,0.135,1.342,0.273,0.018,,,,,,,,,,
246,10.0,7.0,1.0,-0.556,1.061,1.745,-3.649,-0.514,2.814,0.846,0.559,-1.558,-1.088,-0.912,-0.250,0.578,0.596,0.811,0.033,-0.898,1.763,-0.614,0.783,2.482,-1.391,-0.244,1.354,-1.031,-0.419,-0.945,0.374,-0.936,0.007,0.941,1.102,-0.502,-0.329,-0.283,0.754,-0.070,-0.049,-0.171,0.334,0.190,-0.891,-0.196,-0.597
247,14.0,10.0,1.0,0.610,0.558,0.378,-1.012,-0.958,0.260,0.870,1.025,-0.118,-0.389,-0.363,-0.080,1.181,1.041,1.446,-0.449,-0.183,-2.232,-1.928,-0.555,1.554,-1.187,1.069,0.640,-0.913,1.150,1.598,-0.857,-1.191,1.135,-0.462,1.430,-1.135,0.136,-0.090,-1.676,0.930,0.346,1.746,0.065,0.675,-0.461,-0.494,-0.036
248,11.0,7.0,1.0,-0.552,1.015,0.595,1.025,-0.400,1.927,0.816,1.425,-1.045,-0.599,0.163,-0.615,-0.982,0.685,1.182,1.281,-0.541,0.600,-0.684,0.330,1.051,-0.603,0.082,0.682,-1.148,0.261,-0.363,0.154,-0.818,0.128,1.416,1.059,0.643,-0.711,0.958,-0.911,0.915,1.799,1.006,0.923,-0.787,-0.626,0.847,-0.400
249,26.0,4.0,1.0,-0.017,0.745,0.022,-1.108,0.420,1.982,-1.208,0.384,-0.727,0.271,0.652,0.096,0.960,0.403,0.897,-1.753,-0.716,1.064,-2.752,0.501,-0.163,-0.572,0.574,0.123,-1.961,-0.567,1.257,0.063,-0.190,-0.286,0.346,2.242,-0.991,0.259,0.013,-0.888,1.253,1.442,0.929,0.342,0.656,-0.660,0.476,0.077
250,12.0,10.0,1.0,-0.830,0.348,0.846,-2.274,-0.470,1.124,0.302,0.996,-1.525,-0.122,2.191,-0.175,-0.758,0.760,0.785,0.364,0.007,1.421,-0.928,-0.098,1.561,-1.291,1.199,1.139,-1.253,0.924,-0.099,0.355,-0.592,-0.405,1.383,1.359,-0.864,-0.639,0.314,-0.084,0.557,-1.197,1.220,1.067,0.624,-0.985,-0.197,-0.181
251,35.0,8.0,1.0,0.692,0.148,0.452,-1.192,-1.049,0.806,0.360,0.702,-0.064,-1.124,3.284,-0.319,-0.070,0.521,0.823,0.172,-0.569,0.121,0.475,0.443,1.973,-1.280,1.134,1.899,-1.125,-0.098,1.928,0.506,-0.375,-0.612,1.652,1.989,0.368,0.854,-0.686,0.434,0.315,-0.112,0.564,0.097,1.410,-0.342,-0.040,-2.343
252,16.0,8.0,1.0,-0.388,1.179,0.646,-0.976,-0.009,0.480,0.705,0.186,0.451,1.117,1.122,0.017,0.367,0.921,0.305,-0.565,-0.533,0.279,0.413,0.764,1.726,-1.006,1.089,0.775,-0.661,2.601,0.556,0.888,0.409,0.499,0.658,-0.557,-0.616,-0.749,-2.357,-1.593,0.259,-0.280,1.336,-0.570,0.708,-0.550,0.612,-0.407
253,30.0,8.0,1.0,-0.044,0.565,-0.327,-1.101,-0.067,-0.026,0.378,2.220,-1.696,-2.538,0.777,-1.620,-0.072,0.267,-0.676,0.833,-0.238,1.083,0.827,0.624,1.258,-0.327,0.942,0.277,-1.497,2.870,-0.134,-0.691,-0.011,-1.323,-0.048,1.087,-1.547,0.282,-0.449,-0.977,0.322,0.304,2.493,0.375,0.017,-0.847,0.495,-0.552
254,8.0,4.0,1.0,0.068,-0.513,-1.519,-1.628,0.807,0.562,-1.721,-0.063,-0.103,-2.344,1.046,-0.699,0.358,0.445,1.231,-0.493,-0.366,-1.329,0.292,1.048,2.193,0.078,0.347,0.470,-0.612,-0.933,-0.211,0.384,-1.050,1.348,-0.227,0.967,-1.053,-1.755,-1.401,-0.628,0.336,0.823,0.408,0.204,0.173,-2.396,0.174,-0.475
255,24.0,6.0,1.0,0.255,-0.187,0.279,-0.126,-0.180,0.143,1.049,0.347,-1.888,-0.117,2.020,-0.568,0.911,1.449,0.871,0.453,-0.099,0.324,-1.608,0.798,-1.009,-2.327,1.858,0.676,-1.648,1.244,1.485,0.111,-0.600,-1.183,1.714,-0.332,-0.577,0.744,0.238,-1.773,1.209,0.882,-0.408,0.305,1.569,1.124,-0.541,0.918
256,27.0,8.0,1.0,-0.304,0.418,-0.045,0.628,-1.306,0.378,0.053,2.443,-1.671,-2.164,-0.245,-1.084,-0.683,0.887,0.460,-0.056,0.076,-1.176,-0.709,0.232,0.017,-1.763,0.605,0.820,-2.198,1.418,-0.132,0.746,0.206,-0.028,-0.389,1.701,0.066,-1.165,0.764,-1.525,0.780,0.777,0.057,-1.285,0.947,-1.385,0.063,-2.667
257,3.0,5.0,1.0,-1.120,0.034,-0.610,-1.883,-0.664,0.142,0.323,0.061,-0.588,-1.025,2.049,0.742,-0.722,0.658,1.612,-1.080,-0.051,-0.032,-0.151,1.046,1.071,-0.407,1.453,1.749,-0.592,0.229,0.346,1.509,-0.641,1.813,0.987,1.240,0.018,-0.798,-0.002,-0.062,2.393,-0.391,-0.007,0.547,1.153,-0.978,0.164,-0.155
258,5.0,2.0,1.0,0.735,1.347,1.479,-1.202,0.243,1.235,-0.314,1.625,0.011,-2.111,1.223,-0.341,0.991,0.344,2.374,1.083,0.570,0.222,-0.780,0.859,-0.696,-0.305,0.693,-0.490,-0.855,0.894,1.701,-0.327,0.050,0.141,0.318,0.289,-0.163,0.110,-1.297,-0.153,0.741,-1.060,1.059,0.632,1.213,0.211,-0.188,-0.931
259,13.0,5.0,1.0,0.427,0.300,0.658,0.384,-0.474,1.810,0.328,1.571,-1.330,-1.835,0.279,-2.189,1.250,0.939,0.180,0.598,-0.269,0.772,-0.402,0.890,-0.243,-0.747,1.627,0.338,-1.098,2.101,-0.272,1.201,-0.388,-0.699,1.592,1.038,0.219,0.757,0.073,-1.682,-0.650,-0.220,-0.230,-1.116,-0.159,-0.185,0.054,0.038
260,2.0,6.0,1.0,0.821,-0.059,0.640,-0.535,-0.611,2.097,-1.325,0.303,-0.660,-1.402,0.554,-1.289,-0.049,0.719,0.456,-0.632,-0.129,-0.078,0.247,-0.801,0.716,-0.889,1.210,0.967,-1.333,0.855,0.888,0.669,0.062,1.232,0.318,0.279,-0.864,-0.506,-0.434,-0.693,0.348,-0.951,0.702,0.587,0.986,-0.846,-0.236,-1.679
261,17.0,7.0,1.0,0.599,2.160,1.211,-1.525,-0.133,-0.383,-1.164,0.380,-1.414,-1.132,0.720,-0.877,1.162,0.375,1.353,2.170,0.215,0.439,0.267,-1.063,1.129,-0.087,1.118,-0.716,0.132,-0.101,-1.076,0.075,1.438,0.831,1.013,0.513,0.340,0.534,-0.855,-0.985,1.952,0.803,-0.341,-1.204,1.719,-1.828,-0.542,-1.558
