SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,MEAN_SHIFT_01_L1,MEAN_SHIFT_01_L2,MEAN_SHIFT_01_L3,MEAN_SHIFT_02_L1,MEAN_SHIFT_02_L2,MEAN_SHIFT_02_L3,MEAN_SHIFT_03_L1,MEAN_SHIFT_03_L2,MEAN_SHIFT_03_L3,MEAN_SHIFT_04_L1,MEAN_SHIFT_04_L2,MEAN_SHIFT_04_L3,MEAN_SHIFT_05_L1,MEAN_SHIFT_05_L2,MEAN_SHIFT_05_L3,MEAN_SHIFT_06_L1,MEAN_SHIFT_06_L2,MEAN_SHIFT_06_L3,MEAN_SHIFT_07_L1,MEAN_SHIFT_07_L2,MEAN_SHIFT_07_L3,MEAN_SHIFT_08_L1,MEAN_SHIFT_08_L2,MEAN_SHIFT_08_L3,MEAN_SHIFT_09_L1,MEAN_SHIFT_09_L2,MEAN_SHIFT_09_L3,MEAN_SHIFT_10_L1,MEAN_SHIFT_10_L2,MEAN_SHIFT_10_L3,SIGMA_UP_01_L1,SIGMA_UP_01_L2,SIGMA_UP_01_L3,SIGMA_UP_02_L1,SIGMA_UP_02_L2,SIGMA_UP_02_L3,SIGMA_UP_03_L1,SIGMA_UP_03_L2,SIGMA_UP_03_L3,SIGMA_UP_04_L1,SIGMA_UP_04_L2,SIGMA_UP_04_L3,SIGMA_UP_05_L1,SIGMA_UP_05_L2,SIGMA_UP_05_L3,SIGMA_UP_06_L1,SIGMA_UP_06_L2,SIGMA_UP_06_L3,SIGMA_UP_07_L1,SIGMA_UP_07_L2,SIGMA_UP_07_L3,SIGMA_UP_08_L1,SIGMA_UP_08_L2,SIGMA_UP_08_L3,SIGMA_UP_09_L1,SIGMA_UP_09_L2,SIGMA_UP_09_L3,SIGMA_UP_10_L1,SIGMA_UP_10_L2,SIGMA_UP_10_L3,SIGMA_DOWN_01_L1,SIGMA_DOWN_01_L2,SIGMA_DOWN_01_L3,SIGMA_DOWN_02_L1,SIGMA_DOWN_02_L2,SIGMA_DOWN_02_L3,SIGMA_DOWN_03_L1,SIGMA_DOWN_03_L2,SIGMA_DOWN_03_L3,SIGMA_DOWN_04_L1,SIGMA_DOWN_04_L2,SIGMA_DOWN_04_L3,SIGMA_DOWN_05_L1,SIGMA_DOWN_05_L2,SIGMA_DOWN_05_L3,SIGMA_DOWN_06_L1,SIGMA_DOWN_06_L2,SIGMA_DOWN_06_L3,SIGMA_DOWN_07_L1,SIGMA_DOWN_07_L2,SIGMA_DOWN_07_L3,SIGMA_DOWN_08_L1,SIGMA_DOWN_08_L2,SIGMA_DOWN_08_L3,TAIL_01_L1,TAIL_01_L2,TAIL_01_L3,TAIL_02_L1,TAIL_02_L2,TAIL_02_L3,TAIL_03_L1,TAIL_03_L2,TAIL_03_L3,TAIL_04_L1,TAIL_04_L2,TAIL_04_L3,TAIL_05_L1,TAIL_05_L2,TAIL_05_L3,TAIL_06_L1,TAIL_06_L2,TAIL_06_L3,TAIL_07_L1,TAIL_07_L2,TAIL_07_L3,TAIL_08_L1,TAIL_08_L2,TAIL_08_L3,BIMODAL_01_L1,BIMODAL_01_L2,BIMODAL_01_L3,BIMODAL_02_L1,BIMODAL_02_L2,BIMODAL_02_L3,BIMODAL_03_L1,BIMODAL_03_L2,BIMODAL_03_L3,BIMODAL_04_L1,BIMODAL_04_L2,BIMODAL_04_L3,BIMODAL_05_L1,BIMODAL_05_L2,BIMODAL_05_L3,BIMODAL_06_L1,BIMODAL_06_L2,BIMODAL_06_L3,BIMODAL_07_L1,BIMODAL_07_L2,BIMODAL_07_L3,BIMODAL_08_L1,BIMODAL_08_L2,BIMODAL_08_L3,LOW_CPK_01_L1,LOW_CPK_01_L2,LOW_CPK_01_L3,LOW_CPK_02_L1,LOW_CPK_02_L2,LOW_CPK_02_L3,LOW_CPK_03_L1,LOW_CPK_03_L2,LOW_CPK_03_L3,LOW_CPK_04_L1,LOW_CPK_04_L2,LOW_CPK_04_L3,LOW_CPK_05_L1,LOW_CPK_05_L2,LOW_CPK_05_L3,LOW_CPK_06_L1,LOW_CPK_06_L2,LOW_CPK_06_L3,CONTROL_01,CONTROL_02,CONTROL_03,CONTROL_04,CONTROL_05,CONTROL_06,CONTROL_07,CONTROL_08,CONTROL_09,CONTROL_10,CONTROL_11,CONTROL_12,CONTROL_13,CONTROL_14,CONTROL_15,CONTROL_16,CONTROL_17,CONTROL_18,CONTROL_19,CONTROL_20,CONTROL_21,CONTROL_22,CONTROL_23,CONTROL_24,CONTROL_25,CONTROL_26,CONTROL_27,CONTROL_28,CONTROL_29,CONTROL_30,CONTROL_31,CONTROL_32,CONTROL_33,CONTROL_34,CONTROL_35,CONTROL_36,CONTROL_37,REMOVED_ITEM_01,REMOVED_ITEM_02,REMOVED_ITEM_03,REMOVED_ITEM_04,REMOVED_ITEM_05,LIMIT_CHG_HI,LIMIT_CHG_LO,LIMIT_CHG_BOTH
C000004,2,1,16,1,1,,5.359948,6.688556,5.750624,5.378269,6.043696,6.665863,4.589581,6.247457,4.244877,5.818581,5.295828,5.839034,4.725295,7.053411,4.274542,4.979107,3.636997,4.636294,4.887939,3.545140,6.721234,6.168119,5.087917,5.521439,6.091930,5.342008,5.968011,5.822096,5.812240,4.085260,5.633043,5.274790,4.332171,5.718006,6.553383,3.711557,7.354066,3.520689,5.923382,4.189695,5.554557,6.133651,6.855481,4.641849,5.558544,6.892175,5.448032,6.094621,4.164874,4.465223,4.195413,4.193906,4.598699,3.498610,5.835159,4.676423,3.632210,4.206904,6.393343,6.621860,5.244750,5.026501,6.327984,4.936167,5.854566,5.378861,6.273474,4.774815,6.590367,6.514463,5.806223,4.697653,4.049996,6.328585,7.455113,5.121465,4.322278,3.360998,3.548954,5.180427,6.041605,5.676078,4.267654,4.721474,5.323058,5.704698,5.805479,6.290633,3.634903,5.662554,4.940351,3.969397,4.457600,6.225643,4.729298,4.420805,5.614644,5.303078,5.576006,4.669355,5.420434,7.122168,5.512857,4.701680,5.625150,4.433997,6.857453,6.000853,4.003939,4.312022,3.298061,4.479608,3.873426,4.135272,4.522326,3.839584,3.999334,4.304714,4.242818,3.703039,4.426969,4.548434,3.645204,4.018729,4.345221,4.548580,3.485012,3.783708,4.235381,3.940173,4.016169,4.331940,6.791812,6.037655,5.585644,4.905237,4.852981,5.101007,4.278863,2.540302,6.124380,4.241190,5.592311,4.481293,5.326870,4.587035,4.942447,4.660197,5.364164,6.307098,5.480686,4.610606,4.065180,5.593433,4.894284,5.884008,4.064156,5.532106,4.028913,6.718821,5.329421,5.734527,3.575971,4.787060,4.246705,4.765490,4.304465,3.006517,3.546378,5.683873,5.557840,5.134250,6.007479,4.980741,4.573064,6.317844,6.698729,4.274658,6.213329,5.641922,4.489044,4.473871,5.374230,5.830289,2.723536,5.330366,3.554367,5.798238,6.670867,7.420907,5.965022,4.695249,5.697727,5.135452,5.717467
C000005,2,2,17,1,1,,2.717578,3.493820,6.602682,6.802708,6.343839,6.562682,5.772385,4.115183,5.971091,4.210018,6.434585,4.179923,5.220368,5.905311,5.941543,4.626731,4.569433,5.135305,5.127863,4.219753,6.840050,6.703016,4.791368,3.033288,4.033237,5.625896,5.001415,5.222446,6.753624,4.890329,4.939556,5.395791,4.452283,5.029978,4.458866,5.209000,5.064416,5.421412,6.282173,3.032028,6.772705,3.202601,5.335799,4.485948,5.536794,4.492660,5.508964,5.169007,5.974239,4.497518,6.540995,5.233707,5.004361,3.826257,3.434456,6.892932,4.291170,4.228968,3.712276,4.205389,6.962743,5.464602,4.462725,4.748509,4.422808,4.231308,4.449299,4.272680,4.298534,7.777581,3.673884,4.265849,6.662060,4.939494,4.967774,6.376880,3.802258,2.979701,3.356288,3.983776,5.090534,6.629334,4.093722,8.306855,7.383572,4.898415,4.627582,5.592971,4.963079,5.319530,3.871734,5.711927,4.558116,5.136846,4.371972,7.545665,4.841360,5.100670,4.304765,4.565510,4.399015,4.857444,4.515426,4.552820,7.462491,4.849620,3.325972,4.084211,3.989680,4.468101,4.464030,3.972853,3.653396,3.875340,3.638419,4.243019,3.634625,4.816238,4.547635,3.174676,4.359255,4.553734,3.817689,4.148603,4.535576,4.267407,4.177412,3.960397,4.110988,4.361668,4.424291,3.866145,4.931807,5.938293,5.135489,3.429750,5.249973,4.265886,3.351567,7.521706,4.486818,6.077233,3.291995,4.470556,4.155576,4.865553,3.831839,7.513933,4.165853,3.482466,5.234251,7.283182,6.052500,5.666760,4.257983,4.317705,4.588593,6.757139,2.980329,6.991245,5.297713,6.063244,3.808600,4.715967,4.212488,6.121754,5.467294,4.952096,4.403775,5.483083,3.737803,4.512710,4.533342,3.649565,6.012137,4.458018,5.238795,5.153888,6.451787,5.856546,4.091762,6.743992,3.720382,5.561398,4.728878,4.246473,5.801022,6.405838,6.594818,6.881390,3.632008,4.705613,3.975490,5.366322,6.510591
C000006,2,3,18,1,1,,3.845020,2.715654,3.949446,3.114742,5.242461,4.530482,5.741429,3.720085,5.674913,6.997888,4.038975,2.897543,4.871875,5.769055,5.926353,4.331155,4.599746,3.754296,4.075457,4.091690,4.828648,4.575775,4.469473,6.131588,4.350282,3.244314,5.526799,4.528201,4.940444,5.012380,4.277294,5.535361,3.941361,4.724563,4.328985,3.922415,4.950426,5.184228,2.773150,6.799303,5.122603,3.899993,7.253790,4.079373,5.034357,5.632223,5.763054,4.873400,3.397325,6.482104,2.858062,5.565927,4.198024,3.739016,2.855032,5.450650,4.300150,4.971736,4.672828,5.099817,2.522566,5.163538,5.033561,4.250977,6.320162,3.472104,5.209206,5.519882,4.344316,5.338521,6.666073,4.661468,4.063245,3.992441,5.509282,4.586962,4.721423,3.365235,4.912932,3.767427,4.558604,6.097514,5.700150,4.230111,5.919060,4.607710,2.777041,5.677100,3.568159,5.139894,5.649550,5.360019,6.587236,5.702636,5.569750,4.290458,4.732402,6.938397,3.764039,3.973909,5.407029,3.788419,6.161577,5.337260,3.930551,6.068507,6.714571,4.229329,4.081832,3.572732,4.313893,3.491194,4.757803,4.836336,4.213338,4.126094,3.262602,4.609858,3.548944,4.199255,3.284361,3.385129,4.045461,4.116563,4.248634,3.843414,3.663135,3.652747,4.202260,3.549095,4.213808,4.761117,4.703686,4.445429,4.710158,5.615987,7.048314,5.838521,3.519328,5.738175,5.948967,4.540420,3.332461,6.385091,5.967001,5.315431,7.168921,3.593729,7.198753,7.011387,5.191376,5.651010,4.997062,4.258822,4.211810,3.596567,4.276573,5.824914,3.298825,4.251457,7.059044,6.616780,4.408160,5.095575,6.169765,3.998417,5.396847,3.761457,3.143808,5.250821,6.663517,5.165176,4.286233,4.267830,4.428405,5.320386,5.586233,6.137259,3.734825,6.386061,5.715121,6.015955,4.087432,3.908080,3.375422,6.870040,5.408075,5.934409,7.361210,5.105216,3.277454,4.645247,4.258825,4.584077,5.068629
C000007,2,4,19,1,1,,4.443262,5.350950,3.006340,4.727262,5.765431,6.206113,5.632633,5.937390,3.824437,4.728090,4.584221,3.899688,5.049249,4.923458,4.011893,7.157402,7.154887,3.873360,5.449509,5.670449,5.724594,5.160914,3.558311,4.656458,4.894883,6.800621,4.610250,4.820144,4.443990,2.877784,5.671762,4.014577,4.487750,3.739500,4.181204,5.947303,5.713776,8.916101,5.545724,6.248797,6.117071,4.932603,7.006123,4.937865,6.284649,5.490537,5.387450,5.324115,6.079154,5.046084,4.359900,5.253847,4.636414,3.734439,5.281812,4.852377,3.992812,4.794633,5.831536,6.127972,6.058601,6.323729,5.292450,4.270771,6.280514,3.437695,2.655719,4.838220,2.663257,4.659696,4.099171,4.491092,3.736495,4.438793,4.699125,5.789806,2.634751,4.548584,6.689257,5.241366,2.936073,6.228268,4.133734,3.808612,4.939423,4.473371,4.302479,5.309729,5.253853,4.258340,3.922802,5.338840,5.865887,5.612092,4.538956,4.814424,4.550425,5.664608,4.087706,3.860812,4.883460,3.617506,5.360095,3.757769,3.596484,5.300925,4.005466,5.265814,4.195599,3.164662,3.904887,4.701106,3.918540,4.574044,4.267294,4.378361,4.847388,4.019025,4.499450,3.773098,4.415898,3.590137,4.665276,3.426725,3.695989,4.696077,4.123213,3.715999,4.085901,3.741139,3.497376,4.126815,5.289173,5.014310,5.767268,6.262078,4.905004,3.756979,3.835248,5.977659,6.359188,2.230315,5.022336,4.745745,4.661806,4.106720,5.809601,4.622901,5.800563,6.014509,4.212413,6.505628,5.142146,6.717430,3.079233,5.121960,3.353077,3.059236,6.007999,5.693000,5.423333,4.081845,5.744198,5.949886,6.230720,1.593384,4.104433,6.775624,5.772489,5.019370,4.011326,5.297657,5.384895,3.356097,6.340692,4.210372,3.866140,4.582681,4.111662,6.085986,5.221237,4.647724,4.618911,2.513528,5.111158,4.690263,4.944321,6.172858,4.586560,6.469673,5.435673,4.492093,5.491196,4.148615,5.866055
C000008,3,1,20,1,1,,3.887084,5.220243,3.400477,5.864945,5.129464,5.292243,5.362646,4.964980,4.176280,5.620536,4.105605,4.607718,5.183135,4.613180,5.437350,4.169723,3.351452,5.048666,6.380517,4.000917,3.895116,5.715360,2.353110,4.456320,5.927272,5.707866,4.034734,5.529071,5.662432,5.690700,4.720161,5.597993,3.928671,4.889428,6.480880,5.848585,4.149463,3.604022,4.242933,5.424371,6.812793,3.707024,5.070019,4.038113,5.114124,5.254063,4.558781,5.175012,3.501505,5.204635,4.889796,4.280015,5.801762,5.924763,4.856473,4.550202,4.482420,4.729724,4.258846,6.622620,4.534072,2.454099,4.646402,6.345373,4.529053,3.856502,5.670288,4.725768,4.739658,4.503923,5.782948,4.139327,5.437002,6.024413,4.548295,5.496871,5.368967,6.081920,4.186761,3.077280,7.432378,7.283458,5.897368,4.762829,5.055052,5.078492,5.622378,6.492050,4.797000,4.464904,5.885308,6.259660,5.517102,5.351155,4.246203,4.428294,5.479398,4.848867,4.648329,5.211274,3.532271,4.769601,5.388049,5.113309,4.826615,4.387205,6.045359,4.124359,3.535394,3.870096,4.401906,3.820170,4.538812,3.983801,3.917917,4.178554,3.770533,3.744976,3.972459,3.416551,3.864347,3.794039,4.117345,4.618462,4.468219,3.910446,4.067178,3.156844,4.163770,3.429136,3.997659,4.047097,4.962011,5.873299,4.867939,4.770397,4.235124,4.036094,5.292996,5.665532,5.790062,4.675321,6.501622,6.166713,4.300294,6.072991,6.262255,6.712108,5.445934,5.867107,2.986383,2.733413,4.212890,3.933869,3.498388,6.380986,6.301812,5.344740,4.701831,5.801806,2.981678,6.269319,5.862246,5.456376,4.692563,6.877556,5.883371,6.007102,5.807377,6.111672,3.803626,4.114936,6.464825,3.244319,4.814951,5.080298,4.914720,5.395691,3.083525,4.889828,5.020052,5.887456,4.891039,4.084520,4.639836,4.840786,6.168029,5.178331,3.766527,6.037579,3.877456,4.355210,4.496368,5.268394,5.262535
C000009,3,2,21,1,1,,5.187857,4.261211,5.245290,7.062836,5.309439,4.111646,7.872720,4.830059,4.411110,4.596884,6.832831,5.653734,6.343454,2.857062,4.961857,3.948214,4.503343,3.950815,4.952804,5.553996,3.749651,4.684069,4.690800,4.970376,4.979843,4.303386,3.814230,4.255311,6.342627,5.029235,4.833179,4.746675,6.417941,4.339541,4.117366,5.302476,4.680727,5.213019,5.073063,4.659796,5.134047,5.267238,3.953240,5.991454,3.424509,6.885801,5.440823,4.737060,5.944808,5.419147,4.093564,4.504983,4.655658,3.892448,4.047204,4.555732,4.432141,3.438073,4.981208,2.651657,4.157926,4.518490,5.950772,5.668036,5.332127,6.466663,5.870828,4.126927,2.582169,4.653190,4.299536,5.477428,5.479536,5.462639,3.063413,6.280846,4.818008,4.759136,6.305439,5.459971,6.454200,3.100482,4.790036,4.873563,6.345865,4.641559,3.854705,4.137401,8.273902,5.675533,4.646819,5.105392,4.736565,5.267481,4.151772,5.473898,5.204761,3.677239,4.241201,7.359957,4.483568,5.109489,4.123399,4.150987,5.428753,5.071795,5.034401,3.366284,3.519813,3.578836,4.109110,3.423892,3.344049,3.887842,3.633615,3.874101,3.295204,4.517667,4.024216,3.877201,4.119168,4.241997,3.614407,4.405475,4.284076,3.811216,3.554093,3.453702,3.287597,3.689166,4.065000,4.438804,4.254304,4.167610,4.171720,3.540129,5.484104,4.832683,3.125721,3.949150,4.361684,3.712445,5.274776,4.946104,6.537282,6.388540,4.330741,4.547661,6.907880,5.457374,6.405276,5.760701,4.083709,5.021413,6.192644,3.964346,5.107462,4.454520,8.162638,4.380835,4.094115,4.785346,5.679253,4.801844,5.745638,5.123875,5.600677,5.017152,4.458169,5.662521,5.277531,5.972996,4.940587,5.097524,5.880073,4.831109,5.345400,3.437087,4.436225,4.154250,5.309882,4.510565,4.540675,4.201756,6.482767,4.376395,6.012113,5.076966,5.037351,6.976769,6.947728,4.452848,5.537923,6.202600,6.700846
C000010,3,3,22,1,1,,4.195579,5.748982,2.923099,4.037098,6.004057,5.213625,5.531724,5.523381,4.761958,6.270826,5.787451,4.259251,5.094995,5.310531,3.370556,5.785717,6.037629,4.705607,5.217541,6.074017,5.615163,3.597073,4.271091,4.410871,5.448471,3.950425,4.653993,4.175179,5.420381,5.835002,6.931575,4.462553,5.052470,6.508987,4.748121,4.638172,3.771511,8.080127,4.775336,2.779575,5.557057,5.509551,3.010108,4.608975,4.699132,5.086672,5.080403,3.752274,2.252497,5.727723,3.119878,4.942555,4.600541,5.042035,4.489969,5.892039,5.397773,4.529436,5.215081,4.435771,4.601233,5.902270,5.367296,3.847879,5.834161,4.907755,6.522053,6.611768,4.585862,4.948413,4.195636,5.318470,5.556437,5.413319,5.130762,4.173420,6.262322,5.283349,4.713588,4.236328,2.421191,5.902512,4.376312,3.854090,5.921147,5.274839,4.721698,5.956677,4.286079,5.641852,3.680046,7.071583,5.135216,4.390748,4.167022,6.316124,3.223695,6.290221,5.216530,4.336148,5.157454,7.721195,9.317384,4.723264,3.375671,4.264487,4.307817,5.163769,4.200964,4.326072,3.780749,3.664393,4.284919,3.768695,3.824189,4.175087,3.954441,3.811856,4.319081,4.666161,4.274194,3.938787,4.708105,4.275787,3.628052,4.421007,3.719970,3.860132,3.491667,4.657104,4.774840,3.756324,4.817656,6.619071,5.753287,3.535591,3.780777,7.256648,4.932656,6.423421,5.269151,4.311693,3.725393,7.334968,4.446119,3.219692,3.676272,5.553636,4.847198,4.611256,4.073504,6.139256,5.968494,4.742340,4.147878,6.075859,4.166289,5.412691,4.974515,4.242750,4.599375,4.759829,6.038786,4.623091,6.532460,5.223901,5.251660,4.290190,7.704586,4.568637,5.494559,4.811474,6.572572,5.951378,4.912938,6.381451,4.086037,3.797750,5.073157,5.000409,4.833423,5.421078,4.151810,3.229477,5.050729,5.396021,5.743627,4.205572,4.890832,4.930160,6.592618,3.192661,4.840241,6.545740,5.939711
C000011,3,4,23,1,1,,3.809699,5.045164,5.028531,3.595217,4.689184,7.191216,6.138057,5.876376,6.179162,5.276117,5.235579,3.497882,5.276838,6.128109,5.248779,3.115233,5.599481,6.070173,5.371470,5.707049,5.072584,6.981229,6.405041,5.013553,5.286388,4.099930,6.583389,4.206517,5.509570,5.479436,5.273553,4.801320,5.479375,6.364456,6.485734,4.953443,5.271451,5.030556,4.546873,5.496086,4.708221,5.412030,7.440080,4.876532,4.893531,6.232108,3.894019,4.270849,5.200732,4.287496,7.348782,4.901985,4.521354,5.405799,4.936293,4.785086,5.416712,4.145987,6.561069,5.149401,4.929527,4.294049,4.119000,1.905101,4.794357,5.300950,4.524910,4.644014,5.200747,6.032538,4.515760,5.538408,4.786231,4.261609,5.954429,5.174330,4.866040,3.894000,3.383718,5.149186,5.286401,5.076837,3.113006,4.635154,5.413341,5.891297,6.090878,4.914073,5.614417,4.689005,4.764784,5.768160,5.130768,4.961008,3.154658,4.315438,6.239776,5.872243,4.597205,5.659755,4.985569,5.067772,5.576951,3.928339,6.437906,5.114853,5.049844,3.803792,3.734400,4.519231,3.783369,4.068785,3.964896,3.779066,3.485644,4.878014,4.072861,3.959814,4.682247,4.153094,3.666173,3.290291,3.789700,3.843821,3.127741,4.146701,4.017941,4.811104,4.015758,3.515899,3.581979,3.714100,4.132111,4.699817,3.434657,4.353414,2.897314,4.083292,6.677386,6.003603,5.106046,6.323734,5.826323,5.081497,4.907917,4.348226,3.046649,6.951212,5.440291,6.492918,5.148113,2.614114,4.479625,5.997155,3.202645,4.586007,4.221593,6.066193,3.469826,6.608180,4.256789,5.589740,2.866590,3.022364,5.634408,5.468843,5.051945,6.223088,4.705004,5.660686,5.904627,5.356929,4.781841,6.410299,6.984785,4.609452,5.707103,6.719201,5.964987,4.134477,6.127672,5.412645,5.405823,3.851883,5.722612,5.854119,5.478626,6.867480,4.957224,5.607034,4.138848,4.035663,3.575983,4.375652,5.307603
C000012,4,1,10,2,1,,5.143889,3.895850,5.026703,4.697860,4.524141,3.005439,5.844540,4.280283,4.919529,5.579124,4.869104,5.483527,5.359930,3.846101,3.975977,5.158789,5.841939,4.446710,5.256432,3.986969,6.569822,3.854073,6.246698,4.654584,4.235755,3.843978,5.856487,7.032319,5.384937,5.216371,1.875269,6.495865,4.552179,6.429570,7.006207,5.123762,6.882145,5.554348,4.519162,4.476177,7.154932,3.626658,4.735278,7.048686,3.358553,3.413607,7.950135,5.620945,4.542107,4.790976,3.883000,3.899460,5.364197,6.213467,4.102229,5.628560,5.436013,6.074058,3.738128,4.548543,3.488491,8.167966,5.216232,4.571610,5.428039,4.213009,5.039051,5.739097,4.600805,5.847901,4.939273,6.293336,3.877074,2.800519,6.114006,3.313702,4.116736,5.198058,5.394472,4.465792,6.080480,5.187980,5.627907,5.449390,3.802650,5.773950,6.357155,5.622804,9.043969,6.261621,5.280596,3.798726,4.310358,3.709578,7.943141,4.527805,4.985277,5.407408,4.988056,5.757961,4.498457,5.176269,6.627565,3.899162,3.920754,5.505619,5.437891,6.068490,4.202472,4.157823,4.264428,4.757542,3.957884,3.945640,4.469676,4.667765,4.296873,3.964546,3.680507,4.159415,5.136686,3.406493,4.177586,3.814800,3.805143,3.798734,4.363101,3.670383,3.962658,3.805764,4.247006,4.716899,3.679860,5.075807,4.042430,5.238331,5.700343,3.268809,4.827557,5.399961,4.175785,4.420407,4.745833,6.491423,2.919450,6.074972,6.201403,5.659610,7.346458,6.305815,6.382298,6.030569,4.917112,3.517545,4.960848,5.527976,5.131860,6.637033,4.900770,5.261143,6.584660,4.835396,4.992760,4.615953,5.312066,4.611650,5.805467,6.749114,5.577051,5.422221,5.140297,5.290394,7.574371,5.276559,4.514964,6.696471,5.652158,4.720901,5.227307,2.307813,4.456724,4.976657,5.290757,6.023977,5.738091,4.347702,5.389683,6.025952,4.370347,4.776278,5.231701,4.160599,3.532762,5.831403,4.178458
C000013,4,2,11,2,1,,4.390139,4.020368,3.288979,2.987411,5.212350,4.849073,6.940193,6.703572,4.188208,3.850527,3.858183,6.370619,4.399291,3.630459,6.010573,4.674995,5.704402,5.187097,6.255131,4.467787,3.586015,4.384642,3.331367,7.801360,6.237567,3.363981,4.751107,3.453390,5.206367,6.334702,3.673498,3.566514,6.165746,5.593297,4.602014,3.867311,4.379422,5.392350,5.203008,4.536640,5.136342,3.580650,3.759323,5.622774,5.718082,3.720503,5.404155,5.698867,4.747405,5.277136,4.604625,4.944994,5.848752,5.307722,5.198462,5.097237,4.548417,4.921521,6.238688,4.789407,4.516932,6.144851,3.982779,4.371399,4.406960,4.548674,5.910783,4.943050,5.115110,3.977735,2.536030,6.307432,6.428514,5.802184,5.398354,5.800589,4.195295,3.954606,4.442216,4.121646,3.152126,2.864238,6.131268,5.455977,3.484523,4.713531,5.558915,4.542591,6.362372,4.076765,5.377101,5.052681,3.796539,8.413398,6.950959,3.565414,3.622094,3.990731,5.883198,5.781833,3.483797,4.855600,3.517333,7.335362,2.973326,4.183475,4.466144,6.222052,4.310535,4.793980,4.345001,3.592594,4.334096,4.276671,4.227984,3.254556,3.846434,3.313330,4.607029,4.811490,3.038684,4.356505,4.141325,4.109691,4.388147,4.169475,4.253265,3.597425,3.934422,3.644881,4.067015,3.851180,5.413728,6.111884,4.623320,7.162849,4.336285,5.958924,3.387077,4.466018,6.785806,3.698896,3.839581,4.050523,5.597234,3.998736,6.765038,5.122939,3.430556,5.384723,5.374664,3.218075,4.711454,6.211492,5.629751,3.236259,4.662971,5.252235,4.453625,4.142381,4.473028,3.986350,4.083073,4.378375,4.635855,4.296937,2.936459,6.258090,5.119570,6.442357,3.746940,4.006257,5.026328,5.487250,5.407697,4.227465,3.999951,6.311272,6.484595,5.850412,6.496499,5.541126,5.623232,4.568209,4.378854,4.615188,4.797981,4.307850,4.992716,5.490574,3.659120,4.697110,5.435752,5.830365,3.883708
C000014,4,3,12,2,1,,6.165712,6.219122,5.789718,5.976697,3.523759,5.465778,5.701608,5.481533,5.136569,4.464440,6.331918,3.508930,4.665149,4.974493,2.368625,5.969826,6.210360,5.950530,4.404979,5.094671,5.929727,4.017140,5.870181,5.628456,3.870929,5.524013,4.545602,7.358347,5.247595,6.197883,4.605081,3.151583,3.995022,5.748483,3.873177,5.528249,5.336015,4.138728,7.240671,5.228310,5.934285,4.256200,3.812924,4.518066,6.797379,3.577645,5.227543,5.838757,5.046690,4.960585,6.937158,6.309721,5.002338,3.476477,5.019241,4.208028,4.869448,4.400588,3.598751,4.214095,3.155985,6.026762,5.853783,4.765489,5.088584,7.291355,4.813011,6.624476,4.814740,3.572663,6.205465,4.640210,6.315001,3.101082,2.732567,5.523970,4.468608,6.704096,7.632309,3.284560,4.347942,4.805903,4.560900,6.417423,5.950150,3.459738,5.579079,4.795633,4.698079,5.951153,4.492321,4.560614,5.834057,5.146135,4.352296,4.773005,3.994643,6.212355,5.268773,3.599169,2.672777,3.795134,6.257288,3.417815,4.341734,4.831452,4.726599,5.416355,4.357908,3.087561,3.412074,3.830732,3.871906,4.014196,3.989420,3.765736,4.676020,3.878103,3.935996,3.724086,3.781331,3.966449,3.693067,4.725090,3.837358,4.347736,4.440749,4.232369,3.596174,4.207870,4.383608,3.823383,4.155841,4.984124,4.011671,4.703996,1.814513,2.989697,5.688373,1.868196,6.391434,2.460105,7.629716,5.240682,4.370500,5.054023,5.125161,5.761654,3.171766,4.276870,5.113651,2.842980,4.972051,5.554248,4.186229,3.779229,3.643006,5.892325,6.254164,4.741684,3.125605,2.698411,6.067120,6.725135,6.584916,5.906113,4.175732,5.286111,4.510236,3.895822,4.331481,4.717585,6.121082,4.343006,6.091875,5.007004,5.662245,4.090660,5.179584,5.183986,7.109095,6.758266,4.046198,4.765289,4.689880,6.910218,2.307376,5.504586,5.688845,4.422308,4.576541,3.261055,6.375808,4.805937,4.662313
