SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,MEAN_SHIFT_01_L1,MEAN_SHIFT_01_L2,MEAN_SHIFT_01_L3,MEAN_SHIFT_02_L1,MEAN_SHIFT_02_L2,MEAN_SHIFT_02_L3,MEAN_SHIFT_03_L1,MEAN_SHIFT_03_L2,MEAN_SHIFT_03_L3,MEAN_SHIFT_04_L1,MEAN_SHIFT_04_L2,MEAN_SHIFT_04_L3,MEAN_SHIFT_05_L1,MEAN_SHIFT_05_L2,MEAN_SHIFT_05_L3,MEAN_SHIFT_06_L1,MEAN_SHIFT_06_L2,MEAN_SHIFT_06_L3,MEAN_SHIFT_07_L1,MEAN_SHIFT_07_L2,MEAN_SHIFT_07_L3,MEAN_SHIFT_08_L1,MEAN_SHIFT_08_L2,MEAN_SHIFT_08_L3,MEAN_SHIFT_09_L1,MEAN_SHIFT_09_L2,MEAN_SHIFT_09_L3,MEAN_SHIFT_10_L1,MEAN_SHIFT_10_L2,MEAN_SHIFT_10_L3,SIGMA_UP_01_L1,SIGMA_UP_01_L2,SIGMA_UP_01_L3,SIGMA_UP_02_L1,SIGMA_UP_02_L2,SIGMA_UP_02_L3,SIGMA_UP_03_L1,SIGMA_UP_03_L2,SIGMA_UP_03_L3,SIGMA_UP_04_L1,SIGMA_UP_04_L2,SIGMA_UP_04_L3,SIGMA_UP_05_L1,SIGMA_UP_05_L2,SIGMA_UP_05_L3,SIGMA_UP_06_L1,SIGMA_UP_06_L2,SIGMA_UP_06_L3,SIGMA_UP_07_L1,SIGMA_UP_07_L2,SIGMA_UP_07_L3,SIGMA_UP_08_L1,SIGMA_UP_08_L2,SIGMA_UP_08_L3,SIGMA_UP_09_L1,SIGMA_UP_09_L2,SIGMA_UP_09_L3,SIGMA_UP_10_L1,SIGMA_UP_10_L2,SIGMA_UP_10_L3,SIGMA_DOWN_01_L1,SIGMA_DOWN_01_L2,SIGMA_DOWN_01_L3,SIGMA_DOWN_02_L1,SIGMA_DOWN_02_L2,SIGMA_DOWN_02_L3,SIGMA_DOWN_03_L1,SIGMA_DOWN_03_L2,SIGMA_DOWN_03_L3,SIGMA_DOWN_04_L1,SIGMA_DOWN_04_L2,SIGMA_DOWN_04_L3,SIGMA_DOWN_05_L1,SIGMA_DOWN_05_L2,SIGMA_DOWN_05_L3,SIGMA_DOWN_06_L1,SIGMA_DOWN_06_L2,SIGMA_DOWN_06_L3,SIGMA_DOWN_07_L1,SIGMA_DOWN_07_L2,SIGMA_DOWN_07_L3,SIGMA_DOWN_08_L1,SIGMA_DOWN_08_L2,SIGMA_DOWN_08_L3,TAIL_01_L1,TAIL_01_L2,TAIL_01_L3,TAIL_02_L1,TAIL_02_L2,TAIL_02_L3,TAIL_03_L1,TAIL_03_L2,TAIL_03_L3,TAIL_04_L1,TAIL_04_L2,TAIL_04_L3,TAIL_05_L1,TAIL_05_L2,TAIL_05_L3,TAIL_06_L1,TAIL_06_L2,TAIL_06_L3,TAIL_07_L1,TAIL_07_L2,TAIL_07_L3,TAIL_08_L1,TAIL_08_L2,TAIL_08_L3,BIMODAL_01_L1,BIMODAL_01_L2,BIMODAL_01_L3,BIMODAL_02_L1,BIMODAL_02_L2,BIMODAL_02_L3,BIMODAL_03_L1,BIMODAL_03_L2,BIMODAL_03_L3,BIMODAL_04_L1,BIMODAL_04_L2,BIMODAL_04_L3,BIMODAL_05_L1,BIMODAL_05_L2,BIMODAL_05_L3,BIMODAL_06_L1,BIMODAL_06_L2,BIMODAL_06_L3,BIMODAL_07_L1,BIMODAL_07_L2,BIMODAL_07_L3,BIMODAL_08_L1,BIMODAL_08_L2,BIMODAL_08_L3,LOW_CPK_01_L1,LOW_CPK_01_L2,LOW_CPK_01_L3,LOW_CPK_02_L1,LOW_CPK_02_L2,LOW_CPK_02_L3,LOW_CPK_03_L1,LOW_CPK_03_L2,LOW_CPK_03_L3,LOW_CPK_04_L1,LOW_CPK_04_L2,LOW_CPK_04_L3,LOW_CPK_05_L1,LOW_CPK_05_L2,LOW_CPK_05_L3,LOW_CPK_06_L1,LOW_CPK_06_L2,LOW_CPK_06_L3,CONTROL_01,CONTROL_02,CONTROL_03,CONTROL_04,CONTROL_05,CONTROL_06,CONTROL_07,CONTROL_08,CONTROL_09,CONTROL_10,CONTROL_11,CONTROL_12,CONTROL_13,CONTROL_14,CONTROL_15,CONTROL_16,CONTROL_17,CONTROL_18,CONTROL_19,CONTROL_20,CONTROL_21,CONTROL_22,CONTROL_23,CONTROL_24,CONTROL_25,CONTROL_26,CONTROL_27,CONTROL_28,CONTROL_29,CONTROL_30,CONTROL_31,CONTROL_32,CONTROL_33,CONTROL_34,CONTROL_35,CONTROL_36,CONTROL_37,ADDED_ITEM_01,ADDED_ITEM_02,ADDED_ITEM_03,ADDED_ITEM_04,ADDED_ITEM_05,LIMIT_CHG_HI,LIMIT_CHG_LO,LIMIT_CHG_BOTH
C000004,2,1,16,1,1,,4.836750,6.119310,6.579010,6.014363,5.573315,6.164068,4.507410,6.183129,7.559458,5.336118,5.781630,8.151828,6.464744,6.902291,7.900122,4.260752,5.777176,6.355178,5.514745,6.358155,6.802047,3.963151,6.306873,6.021677,5.577935,6.424431,5.179502,4.508081,6.476846,7.604685,3.362535,4.504441,5.257412,4.944670,3.968543,4.818903,4.150533,2.156029,4.854489,4.845282,5.179322,8.075906,5.843556,6.375280,6.059298,4.999059,4.447984,2.304707,4.526166,3.062005,8.201460,6.981484,4.438848,2.948865,6.097836,4.367215,5.360874,5.002406,3.488773,6.726134,4.236116,4.393209,4.354648,4.613140,4.326332,6.089757,5.076450,5.049270,5.422898,5.248444,5.483081,4.741009,5.465064,5.284046,4.648155,4.233724,4.463663,3.846229,6.260130,5.013845,4.902026,5.036192,5.974807,5.243636,4.873649,3.630851,3.893147,3.918098,6.744055,5.771412,3.890147,6.220296,4.458491,6.581745,6.492122,4.744268,5.456344,4.985032,4.917903,4.874847,7.125277,4.658880,3.675317,2.059846,5.195621,4.956825,6.570412,3.271945,4.877066,3.494637,4.272768,3.649233,4.439955,3.594958,3.873127,3.675352,4.807068,3.842297,3.606177,3.227590,4.553066,3.638784,3.247559,3.975272,3.644152,4.050640,4.280964,3.269547,3.445884,4.366365,3.017918,3.428505,6.007099,5.253136,3.538389,6.165436,5.156622,3.912310,5.172692,2.716592,3.300557,5.647444,3.548166,4.254963,3.269858,2.968639,3.781713,6.071792,6.222801,4.807433,6.244622,5.039804,4.374296,4.003527,3.618098,5.607140,5.169490,5.551260,5.485125,4.194939,6.729967,4.012111,3.085920,5.724941,3.911778,6.126853,4.616058,4.822395,6.547010,4.743568,5.409346,3.932181,5.657356,5.941007,4.814469,5.220554,5.191636,3.646465,4.806310,6.643055,5.610631,5.339455,4.193967,5.866521,4.205933,7.544280,4.307523,2.814265,4.978296,5.065148,3.965292,4.788540,4.266586,4.838290,5.080426
C000005,2,2,17,1,1,,6.009069,5.536900,8.797305,5.808257,6.004749,6.554971,4.367448,5.988490,8.210224,5.427083,7.536165,4.972218,6.869116,4.564505,8.459673,6.806010,5.581155,6.396832,5.109726,4.816815,5.366047,5.344731,5.492243,7.310454,5.968525,6.570552,7.894289,5.651670,5.988218,6.361233,4.738988,4.022244,2.998215,4.231347,4.112029,4.506070,5.590463,5.430998,6.382115,5.569059,4.334116,2.835519,4.335897,3.443841,5.393847,4.987004,6.089006,3.284878,3.654793,4.711193,5.445362,3.889159,5.375012,8.674461,4.248132,4.347290,5.360210,4.664878,5.290648,4.435016,4.413701,5.933444,4.069454,6.092679,5.151751,5.086955,5.064400,3.917616,5.197690,5.765455,5.150565,3.456196,4.400023,3.599061,4.849990,4.544469,4.084533,5.195057,6.499929,4.277408,4.873078,5.670320,4.183098,5.664897,4.372429,3.693464,6.143720,4.221433,3.579336,3.087294,5.750220,4.811963,6.495509,5.606282,4.732351,6.151049,5.560863,5.289612,4.589000,3.907459,4.864560,6.330467,8.940333,4.646542,6.221055,4.819058,6.073484,4.244355,3.504579,3.335752,4.375613,3.923699,4.956597,3.216096,3.470327,3.534255,4.565375,3.891650,4.025283,1.989626,4.399505,3.762106,3.705042,4.622084,2.910313,2.293259,4.303552,4.460885,2.290603,3.680604,3.744087,3.049006,7.456311,3.881219,8.100327,5.453075,2.624882,9.031230,6.152287,4.294150,4.409404,5.605671,4.785069,3.013201,7.029980,5.607495,6.019524,5.025474,7.169303,5.553843,4.269143,5.730238,4.100053,5.986781,3.064517,6.284095,4.922421,4.960721,2.679124,4.292624,5.889021,5.377328,6.238380,4.856159,3.496878,6.021353,4.465683,5.115123,3.918181,3.917774,6.724249,3.116645,5.245742,4.300680,6.834390,4.152288,4.711964,4.748223,4.840891,3.446692,5.314026,4.677545,6.739198,4.555239,4.612195,5.346160,3.686237,4.859974,5.119611,5.394194,5.821639,4.580097,4.712480,5.119317,5.325916
C000006,2,3,18,1,1,,5.099726,6.462656,8.154887,4.274610,4.442687,5.574413,4.889057,5.561728,6.571791,5.480158,6.612818,8.184019,3.556154,5.906466,6.758162,5.453978,6.561349,7.704829,4.992033,8.452208,7.203431,4.218877,6.005695,5.705966,5.834207,4.390831,8.815426,5.545388,5.645702,6.421485,6.300976,4.529810,6.481255,4.511769,2.650810,3.513308,4.622353,6.731774,8.086158,5.669538,5.749602,5.423227,4.076330,3.585009,6.341568,3.992361,4.931647,5.453110,3.022729,3.171850,5.450732,3.916603,6.113850,4.583780,4.482369,7.550551,8.212078,5.593797,4.338106,5.743549,4.797344,7.020654,4.955123,4.383298,5.938184,4.961056,4.608633,5.604756,5.621755,4.027026,5.706811,5.315894,4.020385,5.522142,5.235475,4.824006,6.128100,6.016752,5.628421,4.935113,4.708480,4.219837,3.886214,4.976906,5.155765,7.494837,7.059349,4.151822,4.988553,3.168294,4.550534,5.850856,6.306699,5.257071,4.778144,5.651445,4.662913,4.966617,6.319023,4.494987,5.894674,4.674841,5.342689,4.572325,2.027718,8.972733,4.337085,5.077385,4.313449,3.844953,1.718363,3.307588,3.578341,3.850529,3.698994,3.723164,2.527643,3.176843,3.803136,2.869655,4.030762,4.244665,3.978038,3.681188,3.848738,2.859375,3.989328,3.552873,3.301747,3.992165,4.348856,3.191839,2.186276,6.062387,6.233230,6.110505,6.353286,5.277281,3.912632,5.255784,8.176456,5.236337,5.037828,3.546725,5.287257,4.989650,4.367349,5.539037,4.511588,6.120604,4.548581,5.011724,4.194684,3.570115,5.548073,6.467124,4.451420,3.294511,4.873057,5.611411,5.999233,3.650765,4.347808,5.329568,3.756003,5.877647,4.143167,5.244725,5.995854,5.075586,5.531688,5.751560,4.893429,5.534204,6.444656,3.957550,4.924090,5.766682,4.697985,5.647956,5.612463,6.503738,5.845160,5.158073,6.029692,6.246222,6.165700,6.385500,6.894471,4.309444,4.559057,4.694990,5.451629,4.613828,5.625486
C000007,2,4,19,1,1,,5.066547,4.041579,7.563570,3.948339,8.481864,6.848008,5.442797,6.236382,7.367035,5.963020,5.014135,6.927225,4.069627,6.568451,7.864502,4.524866,6.480630,8.500661,6.096777,7.340553,9.990000,5.635825,6.843187,6.693596,5.467155,5.177456,6.267903,5.850916,4.369937,6.994112,5.319722,2.021457,4.323835,5.386314,5.546075,6.800636,4.975533,3.886389,5.763393,4.466349,5.906719,6.294802,4.059991,4.127235,5.162208,6.774030,5.063139,4.001791,3.965925,5.385554,4.311860,3.717296,5.447193,4.015180,7.605909,5.118442,7.704002,3.216391,3.537669,3.745919,4.892586,5.774931,5.626725,3.947045,4.452651,5.143792,3.361243,4.344662,4.713455,5.054730,6.417076,4.433908,4.585920,4.457024,5.285954,3.397150,5.288126,4.020090,4.620304,6.051747,4.602538,3.921863,4.411802,4.414132,3.502092,5.946443,6.397824,5.430509,5.779708,4.464969,5.170291,6.649518,5.407525,5.747140,9.919311,4.513513,4.704192,5.090183,3.609166,4.317279,4.819640,5.231814,3.958382,4.498728,5.530863,5.595815,6.041234,5.005148,3.624377,3.486492,2.495260,3.759308,3.360096,2.430725,4.049195,3.866237,4.183386,4.519157,3.500220,3.438763,4.782816,2.714038,2.901944,3.944918,3.480332,4.081575,4.226003,3.602290,3.439544,3.900328,3.357578,3.083314,5.440198,3.827580,5.250237,5.257917,4.981974,5.455608,4.863528,6.074197,5.933138,4.880452,3.212509,4.541970,4.766269,7.286266,4.721675,5.089532,5.923960,3.463482,5.680745,5.228256,6.146370,5.999861,3.608199,4.534340,3.248885,4.988421,4.247347,5.072801,4.960791,5.591388,5.444171,3.739919,5.286884,6.513503,4.186894,5.002584,5.407517,3.801320,7.011319,6.462681,5.069736,4.507763,6.770071,5.886271,5.264420,4.842810,5.738990,5.355912,3.946573,3.546454,5.292726,4.716194,4.912829,4.952350,4.819963,4.809286,4.889062,4.100942,5.036266,3.641132,5.875617,2.719109,4.712948
C000008,3,1,20,1,1,,5.534520,5.708668,6.941900,5.280383,5.248465,8.989795,7.633917,7.136218,7.379320,4.220528,4.684912,7.823620,5.063071,5.313927,7.874973,6.424287,5.251080,7.602476,3.328238,5.334063,7.819228,7.162148,6.163940,6.655058,4.188639,5.891106,8.371255,5.670656,4.649369,7.179521,4.044949,6.832946,5.052447,4.065767,5.328630,4.937664,4.619165,5.630378,6.627038,4.034596,4.062194,5.585145,6.552644,4.274323,6.765196,3.228558,4.550983,4.554702,2.551514,4.729214,6.311048,5.455374,5.766074,5.022169,4.101043,5.413351,7.568841,5.616393,5.656295,4.051952,4.093745,4.834821,5.984352,6.335044,3.665636,5.529690,4.822690,5.876161,5.159021,4.434314,4.680208,5.036929,4.190112,4.298601,4.845941,5.028590,6.180188,4.660951,3.459792,6.225426,4.860420,4.848489,5.934231,4.790149,5.561317,2.912560,4.689085,4.988732,5.508368,4.533242,6.385743,4.927012,4.396082,3.006113,4.050411,6.180878,7.316401,3.992610,4.463187,5.251041,5.070412,4.599888,3.710543,5.222305,1.950976,5.069055,4.400258,6.305754,3.943478,4.041545,3.081315,4.044047,3.796873,3.283459,3.593190,4.481034,2.774298,4.245472,3.733378,3.364888,4.166684,4.827746,3.747135,3.713191,3.881824,3.795617,3.871314,3.749243,2.727668,3.885048,3.714872,3.192859,6.179395,6.468870,5.091888,6.465625,4.111247,7.262802,4.934745,5.650131,7.830827,3.537314,5.917070,8.216878,4.804482,5.847358,4.073114,4.103244,4.699143,1.740163,4.797277,4.402315,4.920962,4.284418,5.276962,5.347384,5.588319,5.150769,5.250161,4.832523,5.224129,6.136870,5.237026,4.654385,5.289383,5.499030,3.692188,5.040392,3.673767,5.602720,6.412527,5.647927,5.006896,5.549872,6.132965,4.388733,4.415500,7.066043,6.298468,5.382115,3.965317,5.937310,6.054106,5.939839,5.754189,5.442825,5.340371,3.210363,5.515323,5.636946,4.798642,4.888845,4.863849,5.717470,4.079323
C000009,3,2,21,1,1,,4.130647,6.250964,6.689073,5.060187,6.254336,8.345262,3.820194,6.315430,7.145317,4.997576,3.500615,5.798096,4.689058,5.384257,6.729249,5.201712,6.843732,7.724735,5.703794,6.395613,7.521090,5.128107,8.207626,6.883488,6.052868,6.458160,7.177946,5.999974,5.434591,6.676944,6.018011,6.683293,7.069477,5.475819,6.033360,6.265558,4.879040,5.153901,4.789605,4.322976,5.555862,4.941036,5.396405,5.436490,7.794496,6.094315,4.263662,4.472938,2.426538,4.857155,8.482144,5.902233,5.412170,3.971897,6.471211,6.825728,6.682203,4.637213,5.834667,8.834300,4.951504,5.158648,4.445293,5.898397,4.824230,5.064739,4.438722,6.355745,4.519338,5.184819,4.711559,5.165554,3.811287,5.175955,4.709410,6.685730,4.880715,4.607259,3.845005,4.711755,4.905687,3.638814,4.459517,4.256292,4.688700,2.289040,4.564790,4.913738,3.515753,4.913005,5.181209,5.181572,5.311985,4.522074,5.159142,5.127894,6.452588,4.850122,3.273075,2.769146,2.502206,4.306940,4.966609,5.123782,7.230779,4.229342,6.783431,4.365523,4.247607,2.504195,3.206807,3.930669,2.965426,2.647550,3.260564,2.735699,3.722810,4.241819,4.105692,3.520149,4.716608,3.932580,4.714241,3.781592,3.801754,3.726974,4.128794,4.066882,3.005615,4.402680,3.228192,2.131159,4.839491,5.683658,4.832297,7.814167,4.408317,6.319801,3.322888,4.884813,9.756725,5.016356,6.267142,3.936134,5.506414,4.696998,5.738510,3.728136,5.316943,2.522539,4.659556,6.706041,3.566545,5.764601,3.372995,4.860062,6.573388,4.211416,5.109546,5.242971,4.778903,5.352901,4.646674,5.783457,3.732464,5.253512,5.258282,5.504015,4.155947,5.885523,6.755775,5.138531,4.739398,5.512243,5.459233,4.726307,4.301240,5.359675,6.056109,6.129184,6.165716,5.056571,4.602384,5.063620,5.259747,4.425455,5.564902,4.850741,5.158076,4.312297,5.115619,5.189558,6.705062,5.226385,5.264270
C000010,3,3,22,1,1,,5.453313,5.996839,6.146310,3.069895,7.742449,6.133009,5.142508,7.824836,5.727318,5.266254,6.142916,5.494618,4.028138,4.417171,8.772122,4.346994,5.571905,7.274599,6.540097,6.070849,7.746820,5.834161,7.362597,9.432488,4.976311,6.178374,6.813613,4.626208,5.461956,7.934863,6.782200,4.132431,4.945348,6.182501,6.355166,3.874380,5.161318,3.640216,5.165287,6.015803,3.949834,4.756140,3.207171,6.265088,2.417081,5.213491,7.637620,3.316356,4.652628,6.601701,2.733647,5.187902,3.963519,8.353782,6.700327,4.467114,4.749548,5.358799,6.271916,0.283164,5.022511,6.520932,5.458754,5.246966,4.882548,4.580523,4.871555,5.088497,5.049079,6.227904,4.070393,4.857800,5.417358,6.502395,4.057455,3.439751,5.126605,4.644146,5.149749,3.545597,3.914567,3.678021,5.670891,3.703515,7.072850,4.120598,3.626987,5.051927,3.688637,5.174746,5.096065,4.588889,6.185966,4.453890,4.366324,3.984641,4.156826,4.451463,4.410601,5.847265,5.491210,2.610614,5.651762,4.913067,3.342028,5.823129,3.277016,1.685781,3.946289,3.466161,3.346584,4.406047,3.856320,3.302928,3.614496,4.309513,3.627897,4.015172,3.847437,2.594440,3.847911,3.817619,2.869695,2.603374,4.089123,1.746517,4.057773,3.056319,4.123577,4.075502,3.778620,3.779236,3.018902,4.702580,2.341397,4.169930,7.453271,5.230507,1.551805,6.143221,4.413755,3.901185,5.477537,5.523359,2.826289,5.736164,5.438080,4.209759,4.832201,5.545315,5.405381,4.710030,4.587981,5.444966,4.553178,4.957814,5.576275,4.764092,4.166066,5.037489,5.272032,4.339517,5.520257,4.177336,4.749237,4.665328,4.314749,5.040125,5.567263,7.002329,4.125148,4.326766,4.167865,4.327395,2.916019,5.424028,6.304494,4.931797,6.361161,4.904106,4.024399,5.671237,5.162547,6.411278,5.416826,2.839528,5.176913,3.813769,3.969574,3.709214,4.456700,4.922113,5.538189,5.384128,5.725257
C000011,3,4,23,1,1,,6.002882,7.899894,5.830223,4.900491,6.809283,9.402048,5.775619,7.640381,6.987045,3.609711,5.595787,7.191352,6.252986,7.637025,7.158434,4.219272,7.157422,8.448531,3.693111,6.284135,6.859681,3.919008,5.440357,6.089768,5.678901,4.948092,6.048852,4.467738,5.070149,9.428797,4.198547,2.858611,4.687553,6.463769,4.894578,3.476346,3.603026,6.760700,7.312363,6.184945,3.513823,5.609299,5.546698,5.825514,3.950155,3.454472,7.632094,2.596411,4.742048,6.117897,4.076675,5.487225,4.917486,5.810229,5.338622,5.861927,5.172957,2.899527,5.014530,5.236219,5.194166,4.086970,5.659145,5.784407,5.614015,5.651030,5.870739,4.950003,4.550426,5.004686,5.931647,4.594646,5.682655,3.458521,4.945249,6.332592,4.783192,5.651505,5.652858,5.775217,4.773881,5.187148,5.159793,5.020694,7.391357,4.176309,5.550488,6.078973,5.895230,6.473996,5.850002,4.118159,4.444954,4.163759,8.531530,3.719716,5.543858,3.495866,2.823516,3.663427,4.629687,6.721954,6.516733,4.794242,3.889580,5.648479,5.304825,4.610357,3.942833,3.883489,3.438100,3.777840,3.754305,4.000110,4.389596,4.337236,3.462073,4.021638,4.015226,2.491856,3.764606,4.429032,3.456236,4.595881,3.867535,2.194026,4.455914,3.729222,2.955402,4.369044,3.312302,2.859051,4.690863,5.670968,7.243015,5.646626,4.327384,4.365630,3.750489,4.924509,2.730244,3.916927,5.666688,5.860112,4.619705,5.120970,7.332446,2.890154,3.135937,7.005370,4.978357,4.733416,5.605931,5.663078,3.788291,4.353615,4.616887,5.433528,5.114863,4.975505,4.924908,4.699107,6.432638,5.057762,4.874659,5.605696,3.360221,3.462567,6.590163,6.338595,6.172821,5.907923,4.841366,4.979399,4.669597,4.093523,5.254068,5.069422,4.310881,5.320672,4.282537,6.560298,3.535179,5.269030,6.207656,6.105208,5.990757,5.209173,5.191119,4.022939,4.904729,9.001065,4.327280,4.266664,5.974582
C000012,4,1,10,2,1,,5.031459,6.826540,7.931298,3.930745,4.114151,7.223127,4.365381,5.957082,7.005986,5.173236,8.186353,8.005615,3.441720,6.621842,6.325923,3.707011,6.953321,6.607656,5.474420,5.217417,8.857487,6.058848,7.624242,7.035878,7.034083,5.148108,8.448596,4.534867,6.238838,8.055248,4.268428,6.020714,3.605212,5.511814,5.438829,3.919332,2.913341,4.786657,9.162144,4.622437,6.747786,5.523115,6.447812,7.451156,3.934633,4.905992,6.070109,2.363903,4.918949,6.086579,6.741359,6.173982,4.867228,5.293015,5.751281,6.700724,5.304450,6.364719,5.299249,5.770258,5.997496,4.833095,5.891985,5.329273,5.333954,4.315832,5.323544,5.667995,5.857482,5.115949,5.444510,5.501638,4.823310,4.872365,5.027465,3.771221,6.729155,6.000967,4.490917,2.957388,4.977343,5.641596,5.630540,5.680297,5.550852,4.065198,7.374290,4.643896,4.204732,3.349837,6.373360,5.110411,8.805619,5.223310,6.331881,2.497728,5.410601,4.328794,2.835367,5.421623,2.687235,6.626850,5.281140,4.354024,3.558008,5.392381,6.168781,3.456159,4.032552,3.250988,4.643863,3.064589,3.950786,3.458448,4.913006,3.454894,2.932977,4.105585,4.234195,4.179799,4.653175,3.569155,3.730783,4.267266,4.336592,3.330921,3.752278,4.179246,3.991151,4.578580,4.363090,4.286900,4.215279,6.154564,4.247632,4.588730,4.943006,4.196285,5.781878,4.133070,3.425034,4.186429,3.752038,5.278412,4.367050,7.499270,4.459020,5.259888,5.687188,5.207911,3.686293,5.681052,5.608148,6.783033,4.755721,5.516663,5.039810,4.919794,6.088348,5.941461,5.134015,3.132163,3.768861,4.765005,5.037948,5.071143,4.125743,2.764426,5.665191,4.969426,4.776660,6.986898,6.645048,5.261100,3.854398,4.073331,4.842276,5.610968,5.211127,5.315965,3.895136,6.243422,4.133332,6.104632,4.515539,3.120571,6.508632,3.125303,5.003200,3.518343,5.052112,2.640309,5.022125,3.351754,4.400288
C000013,4,2,11,2,1,,7.923549,4.971555,7.349542,4.739523,6.494339,6.230488,5.407767,4.834126,8.742962,4.735507,7.380218,7.652481,6.068808,5.901859,8.317944,5.584723,6.697275,7.787658,6.130575,8.586161,6.605580,6.296060,5.111684,8.406207,4.921446,6.709420,6.468581,5.498021,6.837928,6.901612,6.207837,5.054157,4.934471,3.406939,5.803139,6.732721,6.191349,4.451687,4.059494,6.096176,4.551214,5.418656,6.033048,5.577555,5.236909,6.524282,4.620346,6.430308,4.572044,2.037761,6.280993,5.993602,4.161324,6.416843,5.384243,3.617231,4.474094,7.170542,4.759904,5.436122,4.966083,5.664687,5.014468,3.868120,5.154135,5.496691,5.038190,5.588976,5.942832,5.983455,3.879839,5.333939,4.591455,4.569508,4.888241,4.084664,6.067897,5.067995,2.356291,3.588651,4.856249,5.766803,5.241292,4.010384,5.663134,4.811195,7.431442,5.191646,5.442913,3.441694,4.622426,4.667614,1.228649,3.199417,3.825259,3.740351,5.785384,5.354121,4.650059,3.505942,5.332379,5.154962,5.645690,4.709036,5.886876,6.004069,3.930853,4.351354,3.389613,3.497272,3.411603,3.681096,3.830256,4.058154,4.658398,3.546081,3.473179,3.514970,3.305916,3.686046,3.553487,3.900577,3.157996,3.988372,4.334044,4.346457,3.645719,4.672697,3.590224,2.875709,4.252564,3.779699,4.206687,4.852898,6.716404,4.781004,5.199597,6.229934,5.968617,6.551154,5.920689,3.907636,5.817825,4.585555,5.475333,6.020083,3.846803,5.355805,3.656260,4.010156,5.329546,3.904161,3.871176,3.677911,5.018803,5.737167,5.208607,3.817565,3.732445,5.253185,4.956557,5.427138,4.860833,4.886394,6.161855,7.048551,5.975334,6.106201,4.991786,3.396566,6.246384,6.777992,5.249923,5.533507,4.372974,5.939992,4.980155,6.495703,5.237645,5.290547,6.429634,4.835878,5.566535,5.018709,5.671399,5.063214,7.874560,5.198482,4.076153,5.673604,7.480575,6.650611,4.576473,6.075264,4.971522
C000014,4,3,12,2,1,,7.188877,4.167472,9.229101,5.286047,4.270220,7.745321,4.312600,5.391058,6.291929,3.413764,5.710515,7.313236,5.857007,7.106872,7.501020,6.643885,7.199502,8.056266,4.379787,4.923216,6.944133,4.374152,4.644078,8.777855,4.803851,6.456994,8.872841,6.126604,7.584092,7.781598,4.385924,2.962909,5.666011,4.596617,4.734778,6.704834,7.054668,3.447755,4.659409,4.186418,5.291791,4.870305,7.068834,4.188807,4.908659,4.631187,5.568390,4.779151,5.453384,3.696702,2.832848,4.100068,6.230308,4.888183,5.535144,5.174768,4.805272,4.620284,5.175337,2.767557,5.505590,4.725266,4.921642,6.279086,4.856925,5.135870,5.147875,4.501982,5.509531,3.533750,3.508592,4.575194,6.192213,5.518913,4.218036,4.030836,4.367198,4.694224,4.292565,3.829659,5.675753,3.180638,4.670683,4.847600,6.960131,8.301560,3.466135,4.047214,7.122829,2.654648,5.141966,7.054467,3.474788,5.138352,5.365753,7.524410,9.682027,5.713434,5.408408,5.241202,3.673750,4.711448,4.049482,4.009748,2.971357,4.948567,6.446428,3.371802,3.244881,4.051364,4.499156,3.794519,4.615642,3.866931,4.057914,3.784767,4.194346,4.044295,3.249115,3.391520,3.856474,4.086677,3.304438,3.951413,4.994786,3.879503,4.790346,4.016087,3.252040,3.609631,3.869271,1.949078,6.211738,4.805592,6.272603,4.202715,3.473784,5.196955,4.654919,4.691638,2.314735,4.760418,6.008653,2.808340,7.193395,4.850609,4.081563,5.060468,4.488773,6.224441,5.554443,5.013359,5.839012,4.997438,4.826658,4.844446,5.863540,5.118527,4.527401,4.186234,5.527056,5.563467,5.229881,6.578595,6.773131,5.890865,5.739585,5.120258,4.513610,4.687986,5.580102,5.387772,5.801602,6.207539,5.872620,7.207611,3.780898,4.732816,6.124733,6.917923,4.965450,3.154218,6.516086,6.350658,5.662359,6.059514,4.267675,4.023481,5.999265,4.066219,3.906000,6.437230,6.055454,5.351732,4.934297
