SERIAL,SHOT,DUT,XPOS,YPOS,BIN,FAILTNO,BIDIR_TAIL_L2_031,BIDIR_TAIL_L3_032,BIDIR_TAIL_L4_033,BIDIR_TAIL_L5_034,CODE_RAIL_L1_060,CODE_RAIL_L2_061,CODE_RAIL_L3_062,CODE_RAIL_L4_063,CODE_RAIL_L5_064,CONSTANT_VALUE_L1_050,CONSTANT_VALUE_L2_051,CONSTANT_VALUE_L3_052,CONSTANT_VALUE_L4_053,CONSTANT_VALUE_L5_054,EQUIPMENT_SUSPECT_L1_055,EQUIPMENT_SUSPECT_L2_056,EQUIPMENT_SUSPECT_L3_057,EQUIPMENT_SUSPECT_L4_058,EQUIPMENT_SUSPECT_L5_059,HEAVY_TAIL_L1_035,HEAVY_TAIL_L2_036,HEAVY_TAIL_L3_037,HEAVY_TAIL_L4_038,HEAVY_TAIL_L5_039,LOW_SAMPLE_UNCERTAIN_L1_070,LOW_SAMPLE_UNCERTAIN_L2_071,LOW_SAMPLE_UNCERTAIN_L3_072,LOW_SAMPLE_UNCERTAIN_L4_073,LOW_SAMPLE_UNCERTAIN_L5_074,MISSING_LIMIT_L1_065,MISSING_LIMIT_L2_066,MISSING_LIMIT_L3_067,MISSING_LIMIT_L4_068,MISSING_LIMIT_L5_069,MIX2_MEANSHIFT-OUTWARN_L1_115,MIX2_MEANSHIFT-OUTWARN_L2_116,MIX2_MEANSHIFT-OUTWARN_L3_117,MIX2_MEANSHIFT-OUTWARN_L4_118,MIX2_MEANSHIFT-OUTWARN_L5_119,MIX2_WIDE-SEVOUT_L1_105,MIX2_WIDE-SEVOUT_L2_106,MIX2_WIDE-SEVOUT_L3_107,MIX2_WIDE-SEVOUT_L4_108,MIX2_WIDE-SEVOUT_L5_109,MIX2_WIDE-SUBPOP_L1_110,MIX2_WIDE-SUBPOP_L2_111,MIX2_WIDE-SUBPOP_L3_112,MIX2_WIDE-SUBPOP_L4_113,MIX2_WIDE-SUBPOP_L5_114,SUBPOP_GAP_L1_040,SUBPOP_GAP_L2_041,SUBPOP_GAP_L3_042,SUBPOP_GAP_L4_043,SUBPOP_GAP_L5_044,TAIL_RISK_L1_045,TAIL_RISK_L2_046,TAIL_RISK_L3_047,TAIL_RISK_L4_048,TAIL_RISK_L5_049,MIX2_GROSS-WIDE_L3_172
C002099,525,4,-14,17,2,60,0.49803,0.621842,1.35852,-2.38403,37,30,32,44,63,0.99983,1,1.25,1.5,1.75,0.999411,0.927289,0.999911,0.989135,1.05157,0.965862,1.0307,1.04469,0.997157,0.996214,,,,,,0.95108,1.06315,1.00278,1.05359,1.06692,0.97351,0.835415,0.759807,0.659123,0.562384,0.974883,0.957738,0.668667,1.68035,1.94886,1.10778,1.32863,-0.393718,-1.77311,6.55104,0.985653,0.857699,1.11236,1.23226,0.632232,1.20656,0.731079,1.40923,1.07373,2.03995,1.29038
C002100,526,1,-13,17,2,60,0.779909,0.0190438,0.999522,-1.71452,21,37,30,48,22,0.999693,1,1.25,1.5,1.75,1.01708,0.98923,0.996479,0.949263,1.28691,0.921145,1.01917,0.945994,0.955683,1.03067,0.934583,,,,,0.905133,0.990934,0.943797,0.95174,1.03025,0.975807,0.860562,0.743131,0.616798,0.582553,0.968766,0.93473,0.998791,0.16164,0.0685925,1.00184,0.67192,0.056296,-1.22313,1.47618,0.964047,1.18505,0.72685,1.32981,1.36274,0.926805,0.682477,1.10659,1.04507,0.706812,1.20217
C002101,526,2,-12,17,2,60,0.184401,1.26029,0.161543,5.42515,42,29,30,33,20,1.00003,1,1.25,1.5,1.75,0.992258,1.01399,0.916271,0.995559,1.17702,1.08619,0.97714,0.966464,0.944941,1.05691,,,,,,1.03318,0.905383,1.04489,0.986499,0.964889,0.953631,1.12849,0.776708,0.659314,0.540989,0.928281,1.17258,1.27343,1.14374,11.2709,1.10147,1.68286,1.89553,-1.49143,7.75402,0.898686,1.07382,0.865686,1.23619,0.55191,1.23733,0.968328,1.10763,1.67891,1.92874,1.43513
C002102,526,3,-11,17,2,60,0.480011,1.84041,0.535907,1.55388,23,27,19,63,30,0.999945,1,1.25,1.5,1.75,0.999475,1.04715,1.02606,0.969984,0.947584,1.07053,0.999523,1.00677,0.996126,1.01027,,,,,,0.945279,1.01279,0.994367,1.0248,0.937065,0.855546,0.818912,0.763654,0.617418,0.604328,1.01342,2.79925,0.939262,1.0755,-1.32481,1.1623,0.30647,0.110699,3.65125,-5.31903,0.954578,1.06436,0.819206,1.24276,1.43389,0.859493,0.576237,1.36814,0.773008,0.990629,1.14051
C002103,526,4,-10,17,1,,1.3637,1.41407,1.24454,2.06471,36,0,22,33,0,1.00007,1,1.25,1.5,1.75,0.958718,0.944556,1.05297,1.0014,0.849068,0.935172,0.990862,0.989884,1.00494,0.972302,,,,,,1.02864,1.01223,0.889803,1.01794,0.97619,0.939305,0.81361,0.742998,0.637589,0.561125,0.893363,1.1969,0.679921,0.86924,1.60624,0.851427,0.167828,-0.00256244,3.06475,0.797435,0.930001,0.847564,1.17926,0.744136,1.33596,0.948182,1.20828,1.20984,0.982363,1.92026,0.715957
C002104,527,1,-9,17,2,60,1.54518,2.3691,1.08101,5.89321,27,26,63,63,40,0.99984,1,1.25,1.5,1.75,1.03028,0.991376,1.00942,0.902108,1.08377,1.064,1.00882,1.00327,1.04618,0.992745,,,,,,1.00141,0.917095,0.993925,1.0495,1.02539,0.944879,0.78078,0.749839,0.62447,0.498745,0.868284,0.676845,1.48725,0.0565177,1.62303,0.857159,1.62508,2.57407,3.5227,7.21367,0.929761,0.905134,0.814785,1.22186,1.00042,0.720178,0.989417,0.718228,0.820935,0.71401,0.70064
C002105,527,2,-8,17,2,2,-0.511875,1.62055,-0.0345916,0.0376614,36,22,33,0,63,0.999979,1,1.25,1.5,1.75,1.00675,0.984138,0.922577,0.984621,0.504546,1.03876,1.02029,0.938075,1.00457,0.96261,,,,,,0.994512,0.995694,0.919853,0.928049,1.08426,0.941197,0.838986,0.744178,0.660661,0.58675,1.02784,0.827119,0.527427,0.973607,10.3311,1.02427,0.304784,2.22285,-0.866476,-5.38249,1.05448,1.12656,0.860412,1.28672,1.34589,1.416,1.10079,0.963203,0.989814,1.0091,1.04831
C002106,527,3,-7,17,2,57,0.780681,2.25128,0.255384,-0.173163,23,50,63,33,63,1.00008,1,1.25,1.5,1.75,1.0023,1.04392,0.988492,1.06557,1.13099,0.901673,0.854904,0.941538,1.07127,0.90308,,,,,,1.0303,0.873166,1.01563,0.989958,1.00154,0.923875,0.862375,0.780674,0.641752,0.507877,0.895107,0.725354,0.495207,-3.96368,2.53443,0.96162,1.36554,2.22485,-1.41734,6.29025,1.01414,0.896953,0.766478,1.21241,1.06504,0.925494,0.846814,0.704379,1.13047,1.11251,1.00417
C002107,527,4,-6,17,2,55,0.818781,1.10043,1.51222,-1.46564,19,32,42,35,0,0.999887,1,1.25,1.5,1.75,0.962109,1.02287,1.06641,0.895006,0.99225,1.02522,0.92154,1.04393,1.34926,0.981521,,,,,,1.02173,1.03192,1.05795,1.02233,1.07946,0.919639,0.856663,0.772192,0.629743,0.535774,0.92407,0.810276,1.24928,6.63242,0.845804,1.32879,1.89001,2.33962,-1.59213,2.26685,0.997114,0.895449,1.16084,1.17289,1.33026,0.977443,0.815556,1.33084,0.986709,0.594304,0.882099
C002108,528,1,-5,17,2,60,1.2303,0.883507,4.45236,2.3234,21,34,25,0,63,0.999944,1,1.25,1.5,1.75,1.0002,0.974589,1.01919,0.826959,1.01767,1.05715,1.01839,0.951211,0.995234,0.992343,,,,,,0.970983,1.02091,1.09115,1.04735,0.96455,0.893327,0.784568,0.725775,0.656554,0.502762,0.896154,1.32212,0.938929,0.729776,-0.719981,0.806149,0.325631,1.85117,-1.34444,5.57826,0.937337,1.15756,1.10833,1.28738,1.32698,0.973894,1.01613,0.859087,0.824451,0.863125,1.0712
C002109,528,2,-4,17,2,9,0.292721,0.346356,-0.383594,0.83067,35,28,23,40,30,1.00004,1,1.25,1.5,1.75,1.00304,1.01683,1.01937,1.10138,0.718205,1.03349,0.959769,0.984951,0.992541,1.03255,,,,,,1.0014,1.05048,1.01504,0.959037,1.11577,0.918356,0.853836,0.779386,0.650119,0.532312,0.808924,1.27429,1.0585,0.937104,-8.67342,1.19234,0.176483,-0.151166,-1.25677,1.62991,0.953845,0.807278,1.10992,0.752896,1.33714,0.75753,1.13155,1.40006,0.776017,1.97009,0.852583
C002110,528,3,-3,17,2,41,1.13127,1.30472,0.853017,-0.484983,23,17,32,0,29,1.00011,1,1.25,1.5,1.75,0.997075,0.991983,0.994691,1.1665,0.989331,0.933104,1.00477,1.04027,0.971259,0.940433,,,,,,0.981143,1.03664,1.03379,1.08626,0.998065,0.898266,0.8635,0.76262,0.622344,0.53454,1.04738,1.28453,1.30268,1.39744,0.615072,1.04859,1.68692,0.128478,-1.61575,1.71869,0.983642,1.07699,1.20198,0.769124,0.626688,0.890609,1.2634,0.497243,1.53237,0.884213,0.92146
C002111,528,4,-2,17,2,60,0.728724,1.48888,2.22793,-2.69309,36,35,32,31,63,1.0,1,1.25,1.5,1.75,0.974662,1.02675,0.975283,1.00707,0.984624,0.816893,1.09055,0.953525,1.03993,1.10968,,1.03601,,,,1.0281,0.984049,1.09087,0.984741,0.992623,0.919935,0.779758,0.779269,0.624366,0.575295,1.18702,0.924876,1.19635,1.83333,-6.77694,0.911143,1.57407,-0.0401095,-1.16802,7.19768,1.12243,0.876717,1.16824,1.27139,1.35855,1.07864,1.28102,1.40302,0.732892,0.808536,1.16854
C002112,529,1,-1,17,2,9,0.991081,0.531235,1.11142,-4.73787,26,46,37,30,63,1.00013,1,1.25,1.5,1.75,0.99921,1.02397,0.915046,1.03086,0.928487,1.04455,0.949414,0.955299,0.969961,1.04513,,,,,,0.982628,1.07686,1.00838,0.959423,1.02594,0.909052,0.893953,0.696003,0.683698,0.564768,0.849156,1.08997,1.31129,0.8536,-0.200211,1.02462,1.33087,2.31477,-1.05854,8.03743,1.04188,1.09992,0.87989,1.27975,1.00429,1.04996,0.926532,0.985419,1.41329,2.04219,0.546422
C002113,529,2,0,17,1,,0.681771,0.816955,1.05198,3.60884,0,36,63,32,25,0.999829,1,1.25,1.5,1.75,0.95053,1.02237,0.990642,0.972649,0.981759,1.00686,1.02014,1.01537,0.959924,1.01987,,,,,,1.03382,1.02132,0.935083,1.02174,1.06059,0.924123,0.80355,0.753655,0.946736,0.569716,1.0174,0.455811,0.818345,-4.98525,10.4392,1.13662,0.928911,0.125386,3.1234,-4.0491,1.04016,1.21462,0.821571,1.22719,0.946305,0.857105,0.808907,0.848812,1.66807,1.05518,0.980635
C002114,529,3,1,17,2,60,1.46196,0.511053,2.36813,4.58411,14,63,33,63,28,0.999919,1,1.25,1.5,1.75,1.04581,0.943322,1.02597,1.01717,0.417886,1.09293,0.955338,0.993939,0.96974,0.963218,,,,,,0.985794,1.04347,0.964143,1.03898,0.970836,0.945855,0.806242,0.735997,0.708272,0.551714,0.790595,-1.04964,1.17774,0.971641,-9.35985,1.10837,0.502906,1.6882,3.04176,0.876942,1.02064,1.17016,1.15142,1.16122,0.570036,0.756267,0.908817,0.8861,0.911724,1.99493,1.34988
C002115,529,4,2,17,2,29,0.617218,-0.818498,-0.826293,4.73641,34,28,63,29,63,1.00001,1,1.25,1.5,1.75,0.99535,0.973843,0.964705,1.01923,0.624893,0.939701,0.962626,0.986556,0.953466,0.992687,,,,,,1.0782,1.02892,1.04504,1.00433,0.980906,0.936046,0.875029,0.763564,0.606356,0.55332,1.06614,0.689847,0.962635,1.33843,1.0812,0.831242,1.29982,0.294651,2.69741,7.74313,1.09155,0.822751,1.2441,0.704967,1.03421,0.878842,0.74527,0.879837,0.972627,2.27488,0.880336
C002116,530,1,3,17,2,60,0.555655,-0.12158,-1.6388,5.7198,32,26,0,30,28,1.00014,1,1.25,1.5,1.75,0.974732,0.90479,0.977809,1.0227,1.08793,0.998451,1.04081,1.09069,0.965346,0.893368,,,,,,0.973568,1.03662,1.01333,0.949604,1.07969,0.94859,0.831063,0.731911,0.651268,0.53296,1.16349,0.859513,1.30931,0.313232,2.70335,0.984124,1.35131,0.340784,3.57546,0.401088,1.0248,1.05472,1.19169,1.218,0.664366,0.816819,0.788569,0.947902,0.89166,2.05544,1.11772
C002117,530,2,4,17,2,43,1.59465,1.73309,-2.54582,-5.54845,24,31,36,17,63,1.00027,1,1.25,1.5,1.75,0.975017,0.956675,1.03753,0.94179,1.00281,0.990565,0.839022,0.924354,1.00695,0.938582,,,,,,1.01012,0.946563,1.05118,1.09694,1.00063,0.942377,0.791041,0.754314,0.357875,0.55256,0.916853,1.20116,1.00389,5.51726,11.4511,1.10637,0.319272,2.15352,-0.581873,2.31909,0.982068,0.926007,0.800487,0.762408,1.26305,0.964688,1.08225,0.878488,0.893102,0.940395,0.988557
C002118,530,3,5,17,2,60,1.57172,0.444419,-1.7347,1.32227,34,27,0,35,0,0.999997,1,1.25,1.5,1.75,1.0156,0.990021,0.975524,1.00937,1.01593,0.922151,0.98917,1.02495,0.902499,0.945217,,,,,,0.964824,0.976625,1.05236,1.00559,1.10213,0.905533,0.860022,0.749388,0.704105,0.57947,1.03422,2.85677,1.30452,0.467943,0.618695,1.00388,0.508564,0.0457011,-1.40113,6.58865,1.03407,0.850359,0.828807,1.24322,1.30402,0.944577,1.33618,0.918891,1.02906,2.23768,1.02033
C002119,530,4,6,17,2,60,0.548088,0.700169,0.537559,-1.49877,34,39,21,0,63,0.999787,1,1.25,1.5,1.75,1.00764,1.04396,1.02544,0.959393,0.941751,0.976755,0.971772,1.08438,0.98882,0.976833,,,,,,0.922851,1.02726,0.932315,1.03694,1.05868,0.91374,0.817671,0.806206,0.63245,0.542028,0.763024,0.813385,0.834465,1.49369,0.526835,1.00333,1.61997,-0.078685,-1.6338,0.640521,1.05727,0.958187,0.791621,0.763497,1.35244,0.973272,0.93263,1.09049,0.916966,1.96188,1.00432
C002120,531,1,7,17,2,11,0.951425,1.62824,1.33434,-1.17849,30,36,63,0,33,0.999948,1,1.25,1.5,1.75,1.00522,1.05208,1.15797,0.98309,1.13459,1.02111,1.03444,0.924681,0.956196,1.04823,,,,,,1.0169,1.033,1.00275,0.996183,0.959745,0.965452,0.83565,0.76125,0.662654,0.532461,0.968315,1.12982,0.733336,0.148274,-0.157661,1.00605,0.815402,0.15122,-0.771765,-5.40809,1.03453,0.911466,0.771008,0.723708,1.43135,0.848149,0.87999,0.674342,1.74409,0.846551,0.88853
C002121,531,2,8,17,2,60,0.0977769,2.63291,0.379487,1.16591,28,25,15,0,0,1.00006,1,1.25,1.5,1.75,1.01383,1.0148,1.02393,1.06856,0.774108,1.01835,0.927258,1.00224,0.952963,0.936097,,,,,,0.936943,1.07207,1.00064,1.05749,1.00047,0.861729,0.817858,0.723021,0.639107,0.586913,1.03333,1.22873,-1.96259,0.283113,-8.60329,1.03217,1.47671,2.58114,3.71109,6.13638,0.957156,0.920702,0.792452,0.728183,0.994385,1.07899,1.19482,1.0642,1.23455,1.14787,0.907233
C002122,531,3,9,17,2,45,0.58701,-0.254882,0.903209,6.51701,30,26,35,15,25,1.00004,1,1.25,1.5,1.75,1.0391,0.992072,1.07663,1.20556,1.00043,0.969844,0.967301,1.04522,1.04149,0.92902,,,,,,1.05549,0.974116,1.02074,0.95373,1.04732,0.934208,0.810915,0.738597,0.697962,0.61273,0.823899,1.22647,0.80346,0.0282504,0.0418405,1.13172,0.880821,0.518478,-1.50066,-0.377634,1.03514,1.15369,1.20425,1.18948,0.680263,0.87207,0.895988,1.52637,0.873046,0.689353,1.47174
C002123,531,4,10,17,2,9,0.816334,0.412327,1.6968,2.05184,42,38,41,24,29,1.00016,1,1.25,1.5,1.75,1.04799,1.0184,0.973545,1.00517,0.757109,1.06405,0.982976,1.01055,0.941597,1.00569,,,,,,0.961982,0.986889,0.981519,1.11423,0.977363,0.944497,0.837811,0.758837,0.637399,0.542975,1.09022,1.14191,3.86949,-4.31175,1.07696,1.1614,0.896294,2.34009,3.72812,1.34985,1.0292,0.936639,0.82543,1.22788,0.623445,1.21972,1.01017,1.20388,1.48153,0.968068,1.00179
C002124,532,1,11,17,2,16,1.59877,1.34696,-0.224469,1.04019,24,35,34,20,0,1.00023,1,1.25,1.5,1.75,1.00627,1.02273,1.16829,1.02585,1.38412,1.05915,0.903761,1.02167,1.11368,1.00343,,,,,,1.02271,0.991249,0.955495,1.00478,0.995458,0.919129,0.849319,0.741437,0.608795,0.525158,0.870803,0.763183,1.10255,0.899382,-0.440422,0.94185,1.19705,-0.711549,4.16739,-5.25246,1.06968,0.863252,1.13862,0.861068,1.06625,0.95988,0.569923,1.09225,0.812352,0.946736,1.0311
C002125,532,2,12,17,2,60,0.801561,0.864449,1.43228,1.0803,19,5,28,38,15,0.999819,1,1.25,1.5,1.75,1.00894,1.01152,0.963901,0.969871,1.02553,0.992166,0.929879,1.04622,1.0177,0.943637,,,,,,0.989588,0.946539,0.939837,1.03193,1.05662,0.876218,0.802634,0.7552,0.65725,0.553069,1.03063,0.906078,1.44193,-4.75014,1.60468,0.975658,1.56187,2.29002,-1.5749,8.05914,0.895575,1.12533,1.16907,0.823366,1.06415,0.526452,1.16993,0.940088,0.927406,1.08788,1.15615
C002126,532,3,13,17,2,51,0.0309924,0.379906,3.15189,5.0446,19,29,32,36,63,0.999904,1,1.25,1.5,1.75,1.01519,1.02917,0.997586,0.784337,0.954848,1.01836,0.986604,0.970201,0.988252,0.978667,,,,,,0.958182,1.09007,0.9886,0.978643,1.04403,0.949284,0.794085,0.701833,0.649533,0.562662,1.04219,0.928426,0.393313,0.924222,-9.04957,1.17451,1.42111,2.00034,3.35214,7.42734,1.06706,0.876384,1.13776,0.778215,1.34074,1.00261,0.873156,1.02772,0.966833,1.11592,1.16189
C002127,532,4,14,17,2,60,1.61688,-0.532033,1.16428,2.74086,33,29,21,45,37,1.00013,1,1.25,1.5,1.75,1.04174,0.884133,1.03684,1.00122,0.785907,0.951124,1.00284,1.00302,1.02087,1.06175,,,,,,1.05545,0.944119,0.967846,1.05569,1.01349,0.937218,0.870464,0.78068,0.665473,0.488762,0.867767,1.27409,1.29631,6.07832,0.452014,1.05717,0.487372,0.145348,-1.34606,1.07073,1.06259,0.917548,1.14919,0.805668,1.34289,1.08284,0.88846,1.41578,1.43207,0.785347,0.945775
C002128,533,1,15,17,2,60,1.48552,1.92865,0.726644,-1.40148,23,30,30,52,63,0.999997,1,1.25,1.5,1.75,1.0554,0.949956,0.953833,0.986135,1.04252,1.00076,0.908393,0.959129,0.961367,0.940021,,,,,,0.966149,0.926884,1.02532,0.988177,0.970144,0.942007,0.837717,0.753708,0.634408,0.566795,0.973005,1.43418,1.08204,0.758161,10.1825,1.17817,0.410935,-0.124408,3.34479,5.67179,1.0232,0.838757,0.867229,1.2265,0.653292,0.703865,0.986552,1.05561,1.71195,2.13655,1.05303
C002129,533,2,16,17,2,60,0.466963,0.85945,-1.05239,-0.438833,29,38,42,31,22,1.00013,1,1.25,1.5,1.75,1.03252,0.944683,0.966667,1.00292,1.52529,1.07357,0.981255,1.00376,1.07175,1.00169,,,,,,0.991264,0.95156,1.04739,1.03161,0.976814,0.841991,0.80118,0.784157,0.634463,0.57975,0.932292,0.987901,3.70601,6.62626,1.45623,1.01293,1.48468,2.08467,-1.57258,-5.23714,0.906957,1.14884,0.718619,0.718193,0.696249,0.707097,0.874047,1.4716,0.901447,2.05633,1.35732
C002130,533,3,17,17,2,31,0.904011,-0.982361,0.0538044,1.79602,17,35,38,22,14,1.00003,1,1.25,1.5,1.75,1.02576,0.971212,1.06761,1.01555,1.00909,1.0751,0.936467,1.03461,0.912643,0.923198,,,,,,1.0785,0.927349,1.01616,0.976077,1.0603,0.94447,0.81161,0.791443,0.626378,0.495839,0.725347,1.00863,0.947024,-4.09182,0.557903,1.065,1.53983,0.155134,3.90992,-5.07512,0.968377,1.11427,0.824833,1.26369,0.623853,0.875061,1.3009,0.743769,1.53002,1.85754,0.867541
C002131,533,4,18,17,2,60,0.650092,1.89304,1.78959,0.874848,37,19,30,26,63,0.999751,1,1.25,1.5,1.75,1.00986,0.969906,0.979987,0.991229,0.963103,1.02036,0.983392,0.968227,0.937234,0.940531,,,0.950692,,,1.0032,1.04998,0.992448,0.960919,1.0227,0.955567,0.846112,0.757531,0.662411,0.245532,1.18068,0.758,0.960425,-4.22994,1.18129,0.88763,1.63072,1.92012,3.19128,7.76737,0.989984,0.939962,1.25146,1.22613,0.571401,1.0921,0.939428,1.12842,0.971218,0.991565,1.16993
C002132,534,1,19,17,2,60,0.31026,1.12591,2.46852,2.64237,39,35,0,0,19,1.00009,1,1.25,1.5,1.75,1.03109,1.05326,1.04602,1.04983,1.01979,1.00125,0.969213,0.974011,1.00481,0.995923,,,,,,0.961606,1.11122,1.01144,1.00224,0.987367,0.96052,0.881496,0.753404,0.595054,0.534695,0.857046,1.2481,1.0012,5.85528,-0.812707,0.923783,0.016583,1.86999,2.9433,2.22688,0.915228,1.13448,0.826133,0.787192,1.40551,1.23892,0.837499,0.842066,0.7756,0.936068,1.0036
C002133,534,2,20,17,2,8,1.75183,1.33995,1.06049,2.63041,41,63,29,22,0,1.00003,1,1.25,1.5,1.75,1.0583,0.99217,1.01362,1.10735,1.45464,1.03474,0.954817,1.03471,0.999779,0.941672,,,,,,0.992867,0.986635,1.00625,0.983048,1.0195,0.970956,0.817899,0.779203,0.633686,0.567871,1.11296,1.21138,0.948104,1.53851,2.7576,1.16901,0.566773,1.95215,-1.66056,1.57476,1.01479,0.929849,1.16771,0.740024,0.713613,0.838395,1.01843,1.11813,1.06398,2.02904,1.18368
C002134,534,3,21,17,2,60,1.16981,2.33854,1.05884,-4.24745,34,34,33,33,63,1.00002,1,1.25,1.5,1.75,1.0535,1.01788,1.02832,0.978836,0.595219,0.957963,1.08113,0.946322,1.11992,0.953614,,,,,,0.973897,0.998811,1.00907,1.00645,0.994579,0.947171,0.855124,0.771919,0.635177,0.864599,1.08415,1.0563,0.889876,1.83393,9.38746,1.11026,0.446096,0.335245,3.94778,6.76165,1.04153,1.177,1.24601,0.776186,1.3569,0.898793,0.849534,0.872076,1.06902,0.973499,0.748833
C002135,534,4,22,17,2,60,0.771221,0.300847,1.71422,-0.413852,38,30,63,15,0,0.999937,1,1.25,1.5,1.75,0.983896,1.00807,0.972863,0.95807,0.957665,1.053,0.990688,0.983699,0.986579,1.02642,,,,,,1.07495,1.06635,0.962055,1.07483,1.00603,0.886495,0.86422,0.735361,0.631597,0.534571,1.13582,0.618545,1.10888,6.1689,2.65133,0.979199,0.729781,2.19072,-2.56061,-5.00498,1.00086,1.08321,1.16715,1.14135,1.38121,1.18265,1.48139,0.750221,0.707436,0.937598,0.814679
C002136,535,1,-21,18,2,60,1.56658,1.65598,1.93808,2.36906,26,30,28,25,0,1.00007,1,1.25,1.5,1.75,1.03549,0.969677,0.947096,1.06222,1.0475,0.995612,0.949566,1.00235,1.02247,1.00496,,,,,,1.03431,1.01738,1.06782,0.872036,0.942711,0.906853,0.835064,0.744086,0.641471,0.492439,1.01459,1.23368,-2.23446,-3.87953,1.29382,1.00429,1.58692,1.55554,-1.26945,4.16093,0.989026,1.08046,0.831309,0.708399,0.660411,1.19239,1.33013,1.16072,1.55259,0.988177,0.812482
C002137,535,2,-20,18,2,60,1.42408,1.48567,-1.21018,4.14308,24,28,46,36,0,0.999973,1,1.25,1.5,1.75,0.970585,1.01764,1.13719,0.965117,1.04572,0.953124,1.03205,0.971921,0.956723,0.842898,,,,,,0.903729,0.98228,1.02211,0.999605,0.961395,0.914809,0.823449,0.444398,0.668988,0.533727,0.895011,1.0221,1.22943,0.29155,1.12306,1.0717,0.485179,0.581812,-2.11318,1.67365,0.884574,0.969426,0.819492,1.26064,1.32761,0.883813,0.926489,0.990334,1.76154,0.614943,0.91003
C002138,535,3,-19,18,2,52,1.49533,1.15908,1.87236,1.47201,37,30,31,0,63,0.999986,1,1.25,1.5,1.75,0.980213,1.00808,1.00726,1.01534,0.994752,0.777138,0.986751,0.985859,1.02018,0.923542,,,,,,1.04237,0.965985,1.03084,0.937544,0.944512,0.96221,0.769291,0.716867,0.627507,0.630473,0.92407,0.902816,0.995889,1.40723,10.3728,0.671679,1.83437,0.0371626,-1.43685,-0.353962,1.05715,0.857017,1.15515,1.28067,1.33321,0.908208,0.935413,0.965712,0.723426,2.01896,1.39105
C002139,535,4,-18,18,2,60,0.338694,1.77836,0.943536,1.4796,27,63,36,30,0,1.00013,1,1.25,1.5,1.75,0.992406,1.00096,0.966747,1.06021,1.00705,1.14747,1.08512,0.959194,0.941135,0.958179,,,,,,1.05077,0.970167,1.1646,1.06884,0.972046,0.904041,0.800779,0.734117,0.651221,0.523741,0.880361,1.15001,1.2223,1.45455,-8.13962,1.03122,1.26722,-0.33049,-1.1529,-5.82136,0.946729,0.88705,1.22715,0.688997,0.966278,1.31481,0.657713,1.05716,0.99233,0.889613,0.794521
C002140,536,1,-17,18,2,60,1.78984,1.90028,1.14187,-8.76303,39,35,53,37,31,1.00006,1,1.25,1.5,1.75,1.02969,0.835359,0.99404,1.01328,1.01195,0.897933,0.908371,0.970119,0.984796,0.925612,,,,,,1.02906,1.00968,0.97679,0.997665,0.976553,0.93994,0.527827,0.774946,0.614779,0.572346,1.12483,1.11738,0.691217,1.15322,10.7569,1.05624,1.21162,0.319289,0.352936,0.537069,1.02758,0.847087,0.805472,1.30668,0.590976,0.929418,1.08127,0.93622,1.603,1.09346,0.604947
C002141,536,2,-16,18,2,16,1.56218,-0.372924,1.70698,2.88473,35,31,32,22,25,1.00001,1,1.25,1.5,1.75,1.01771,1.02617,0.936408,0.946632,0.939848,0.899936,1.04725,1.07065,1.03178,0.99102,,,,,,0.986649,0.942111,1.0672,0.957814,0.946449,0.87679,0.8129,0.74041,0.616435,0.569832,0.763022,1.05354,0.768407,6.34326,-6.7802,0.757587,1.37947,0.290709,-1.85805,7.61645,1.00212,1.11292,0.832426,0.673626,0.582805,0.84421,0.867103,1.32011,0.810961,2.09959,1.45183
C002142,536,3,-15,18,2,18,1.58217,0.552797,3.38693,1.43794,22,33,42,27,0,0.999959,1,1.25,1.5,1.75,1.00839,0.998899,1.08398,1.02015,1.15134,0.930233,1.02173,1.03565,1.04354,1.00366,,,,,,1.02366,0.981127,0.986065,1.06941,0.97888,0.891652,0.826872,0.765461,0.633015,0.56734,0.773129,1.17845,0.951747,0.596927,11.4164,0.94133,1.49244,0.180962,-2.07488,6.78489,0.970472,1.17425,0.865557,0.767038,0.980237,0.836499,1.17307,1.45251,0.774876,1.1566,1.05372
C002143,536,4,-14,18,2,60,0.756808,1.45333,-0.376762,0.00250398,24,31,28,26,63,0.999867,1,1.25,1.5,1.75,1.0312,0.89554,0.959073,1.0488,1.01198,1.02699,1.00267,1.06348,1.01795,1.00522,,,,,,0.977033,1.03145,0.932932,1.04743,0.962811,0.967545,0.801915,0.769667,0.61987,0.513539,0.965289,1.06789,1.19248,6.57456,0.710646,1.07577,0.544689,1.92203,-2.04015,8.54664,1.01935,1.08558,0.797595,1.23853,0.597934,0.922368,0.960163,1.17058,0.676096,0.909246,1.17921
C002144,537,1,-13,18,2,37,2.25708,1.10843,-0.195753,0.88786,51,45,25,38,23,1.00021,1,1.25,1.5,1.75,0.96942,0.961056,1.02505,0.917167,1.383,0.890455,0.956478,0.947811,0.960402,1.04126,,,,,,1.01889,1.07364,0.919936,0.984298,1.06302,0.911795,0.817598,0.709162,0.667979,0.574275,0.958848,1.24961,4.19551,0.927766,-8.27718,1.04495,0.488715,-0.315592,3.524,0.864145,1.02711,1.20272,1.17461,1.24511,0.591272,0.964795,0.893621,1.0956,0.847421,1.12196,1.72953
