DUT,XCoord,YCoord,Bin,subject_01,subject_02,subject_03,subject_04,subject_05,subject_06,subject_07,subject_08,subject_09,subject_10,subject_11,subject_12,subject_13,subject_14,subject_15,subject_16,subject_17,subject_18,subject_19,subject_20,subject_21,subject_22,subject_23,subject_24,subject_25,subject_26,subject_27,subject_28,subject_29,subject_30,subject_31,subject_32,subject_33,subject_34,subject_35,subject_36,subject_37,subject_38,subject_39,subject_40,subject_41,subject_42,subject_43,subject_44,subject_45,subject_46,subject_47,subject_48,subject_49,subject_50
172,16.0,8.0,1.0,-0.122,0.536,-0.074,-1.412,0.588,-0.894,0.629,-1.248,0.791,0.146,0.012,-0.041,-0.442,0.135,0.964,0.771,0.699,0.998,-0.842,-0.712,-0.421,-0.514,-1.650,-1.933,0.578,-0.210,1.220,0.537,2.421,-0.114,1.036,0.404,1.287,0.008,0.000,-0.204,0.557,0.109,0.014,-0.067,0.653,-0.085,-0.187,-0.056,0.180,-0.242,1.053,0.210,-0.797,0.216
173,34.0,9.0,1.0,-0.173,0.576,0.101,-0.753,0.147,-0.492,0.608,-0.823,1.313,-0.154,-1.947,-0.958,0.757,-0.972,0.857,0.496,-0.012,0.217,-0.591,0.575,0.091,-0.243,0.681,-1.310,1.567,-1.017,2.135,-0.080,0.084,2.178,0.544,0.827,0.835,0.095,0.508,0.216,0.653,0.246,0.654,-0.208,0.542,0.697,-0.309,0.575,-0.935,0.420,-1.996,1.630,-0.491,1.255
174,26.0,6.0,1.0,0.607,-0.452,0.298,-0.374,-1.240,-0.581,0.636,0.551,0.938,-0.457,0.789,-0.780,1.280,-1.297,2.161,0.398,-0.261,1.219,-0.492,-0.155,-0.518,-0.117,-0.962,-0.050,-0.103,0.466,1.545,-1.697,0.156,0.193,0.370,-2.297,0.846,-0.702,0.629,-0.740,-0.073,-1.061,-0.565,-0.154,1.533,-0.808,-0.227,-1.465,-0.204,0.232,-0.150,-0.154,-0.737,0.940
175,20.0,2.0,14.0,0.481,-0.743,1.217,-0.115,1.256,-0.024,0.571,-0.212,1.340,0.698,-1.783,-0.024,0.597,-1.520,0.004,1.175,0.670,0.497,-0.996,0.237,-0.824,0.295,0.860,-0.308,0.419,-1.214,1.788,7.804,,,,,,,,,,,,,,,,,,,,,,
176,28.0,10.0,1.0,-0.352,0.381,0.608,0.466,0.445,0.801,0.550,-0.689,0.893,0.289,-0.180,-2.138,-0.155,-0.983,1.113,0.376,0.242,1.316,0.038,2.281,-0.171,0.289,1.274,-0.538,1.545,0.284,0.486,-2.345,0.402,1.782,0.274,-0.952,1.491,0.680,0.422,-0.197,0.957,-0.009,-0.243,-1.682,0.668,-1.329,1.437,-0.123,0.329,-0.391,-1.172,0.359,1.962,0.654
177,5.0,8.0,16.0,0.295,2.237,1.372,-1.176,0.056,0.016,-0.721,-1.877,1.098,-1.223,-0.619,-1.587,0.509,-0.602,1.594,0.133,-0.963,0.316,0.644,-1.441,-0.989,1.081,0.860,-1.009,0.997,0.172,2.176,-0.704,2.136,1.251,1.087,-0.341,0.660,1.203,-6.867,,,,,,,,,,,,,,,
178,16.0,3.0,1.0,0.099,0.253,0.517,-1.104,-0.002,-0.458,0.816,0.047,1.142,-0.824,0.366,-1.268,0.648,-1.316,0.769,-0.301,0.822,1.695,0.741,-0.379,0.971,0.091,0.282,-0.416,1.104,-2.063,0.123,-1.038,-0.293,1.351,0.211,0.818,-0.376,1.705,0.327,-1.230,-0.104,0.187,0.393,-1.673,0.571,0.808,0.426,-0.270,-0.021,-0.839,-1.221,-0.081,-0.584,0.203
179,32.0,10.0,1.0,0.091,0.928,-1.830,-2.300,-0.382,0.127,-0.691,-0.532,1.729,-1.852,-1.300,-0.640,1.441,-0.144,1.134,0.317,1.019,1.759,-1.064,1.246,-0.455,-1.058,0.532,-1.578,0.873,-0.531,0.515,0.264,0.538,0.734,1.165,-0.066,1.648,0.136,0.048,0.381,-1.928,-0.692,-1.233,-0.877,1.452,0.298,0.530,-0.641,-0.088,-1.050,-0.768,0.152,0.040,1.890
180,22.0,3.0,1.0,1.236,0.493,-0.196,-1.301,-0.245,0.651,0.566,-2.221,0.512,-0.843,-0.945,-0.802,2.215,-0.894,1.275,0.613,2.470,1.256,-0.317,0.429,0.239,-0.091,0.283,-0.868,0.503,-1.136,1.178,-0.945,0.898,0.860,0.778,0.732,-0.113,0.894,1.484,-1.567,0.153,0.658,-0.500,0.208,0.670,-0.767,1.440,-0.808,-0.358,1.798,-0.742,-0.075,-2.388,0.591
181,1.0,2.0,1.0,0.238,0.793,0.134,-0.769,-1.908,-0.439,0.218,-1.085,2.181,-0.070,0.030,-0.616,1.210,-0.811,0.696,0.339,0.911,1.251,0.288,-0.948,0.097,0.128,0.578,-0.539,1.594,0.362,0.356,-1.428,0.225,1.295,1.551,-0.541,0.639,0.419,1.455,-1.328,-0.119,-0.971,-1.330,0.304,1.116,0.184,1.092,-0.001,-0.159,0.178,-1.282,0.068,-1.954,0.292
182,23.0,5.0,1.0,-2.076,0.999,1.326,-1.941,0.324,-0.871,0.444,-0.511,1.282,-1.924,-0.945,-0.305,0.726,-0.081,-0.406,0.206,0.313,-0.859,-0.792,0.671,-1.242,1.070,1.694,-0.285,1.072,1.219,0.001,-0.360,0.807,0.690,0.688,-1.551,0.775,1.723,0.981,-0.114,1.433,0.348,0.464,-1.283,0.300,-0.298,1.288,0.070,1.372,0.005,-1.478,0.605,-1.942,0.630
183,17.0,3.0,1.0,0.394,1.596,0.744,-0.986,-0.346,-1.630,0.931,0.667,1.492,-1.180,-0.878,-0.672,-0.189,-0.568,1.457,1.173,0.035,0.287,-1.256,1.330,0.235,-0.694,-0.722,-1.952,0.436,-0.322,0.806,-0.252,1.077,0.390,-0.843,-1.572,1.412,0.917,0.575,-0.367,0.709,-0.487,0.921,-0.353,0.050,-0.686,0.844,-0.705,0.127,-0.551,0.248,0.132,-1.566,0.535
184,16.0,10.0,1.0,1.327,1.253,1.274,0.429,-0.238,-0.398,0.641,-1.901,1.494,-0.732,-0.698,-1.318,0.440,0.263,1.135,0.909,-0.719,1.070,-0.320,0.284,-0.247,1.461,2.018,-1.787,2.406,1.113,1.232,1.190,-0.479,0.969,0.379,-0.609,-1.339,0.958,1.382,-0.464,0.762,-0.747,-1.137,-0.764,0.824,-0.704,1.784,-0.254,-1.920,0.257,-0.305,0.116,-1.686,0.720
185,35.0,7.0,1.0,1.534,0.650,2.098,-2.370,0.099,-0.132,0.545,-0.053,0.266,-0.548,-0.920,-1.216,-0.566,0.836,1.056,0.732,-1.142,0.250,-0.749,0.134,-1.167,0.293,0.856,0.197,0.835,-0.049,-0.327,-1.655,2.622,0.103,2.019,-1.421,1.632,-0.621,1.167,-1.005,-0.240,0.205,0.853,-0.029,1.377,1.283,1.343,-0.489,0.385,-0.722,-0.365,-0.204,-2.656,0.917
186,16.0,6.0,12.0,0.065,1.619,0.045,-1.457,1.574,-0.848,0.229,-0.655,1.356,-2.366,-0.363,-0.682,0.872,-7.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,13.0,5.0,1.0,1.972,1.626,-1.029,-0.253,-1.018,-0.828,-0.145,-0.633,1.790,-0.468,-0.820,-1.521,2.347,0.092,0.736,0.622,1.070,1.338,-0.280,0.103,-0.088,0.847,1.999,-0.629,0.456,0.931,1.398,-1.144,0.797,1.268,0.841,-0.059,0.202,3.175,0.571,0.909,1.937,-0.396,0.326,-0.904,0.110,-0.180,0.619,1.112,-0.486,1.418,-0.133,0.287,-0.118,0.945
188,26.0,9.0,1.0,0.885,1.612,-0.673,-0.466,-0.309,-0.198,0.087,-1.415,1.223,-0.553,-0.318,-1.368,1.650,0.004,1.144,0.850,0.699,-0.595,-0.017,-0.835,0.156,0.299,2.012,-0.577,0.259,-2.051,0.326,-1.288,1.338,-1.947,0.446,0.264,0.173,0.611,0.626,-0.559,-1.265,-0.284,-1.603,-0.553,0.553,1.297,0.595,-1.555,1.016,0.616,-0.702,0.567,-1.152,0.699
189,17.0,6.0,1.0,0.611,-0.131,2.759,-1.552,-1.166,-0.116,1.078,1.834,0.391,-1.366,0.796,-0.706,0.566,-1.198,1.552,0.066,2.175,1.318,0.969,0.513,-0.284,0.912,1.112,0.322,-0.279,1.340,1.411,-1.038,1.568,0.844,-0.555,1.847,0.920,1.566,1.387,-0.367,1.271,-0.408,-0.537,-0.852,1.063,1.630,0.939,-0.717,-0.035,-0.536,-0.118,0.457,0.129,-0.227
190,25.0,8.0,1.0,0.334,0.648,1.182,-0.044,-1.114,-0.902,1.215,-1.173,0.651,-0.419,-1.338,0.207,1.177,-0.877,-0.861,1.197,0.459,2.518,-0.501,0.420,-0.483,0.174,1.115,-1.086,0.507,0.756,0.325,-1.890,0.162,-0.660,1.818,-0.768,1.225,1.263,1.417,-0.249,-1.215,-0.300,0.741,0.068,0.884,0.553,1.655,0.676,-0.863,-0.356,-0.944,-0.161,-2.333,1.439
191,19.0,3.0,1.0,-0.011,0.535,-0.667,-2.594,0.796,-0.612,-0.549,-0.157,1.485,-0.213,-0.992,-1.703,0.525,-0.918,1.975,1.290,-0.887,0.927,-1.067,0.216,-1.176,0.817,-0.476,-0.183,1.069,2.515,0.876,-0.557,0.020,1.118,-0.100,-0.829,-0.623,0.952,0.751,0.550,0.285,0.799,0.208,-0.473,1.182,0.997,0.683,0.591,0.858,1.433,-1.015,1.046,-2.742,0.133
192,9.0,7.0,1.0,-0.257,-0.029,1.035,-0.974,1.122,-0.927,0.719,-0.639,-0.177,-0.306,-0.436,-1.544,2.137,0.539,0.196,1.064,-1.243,0.018,0.227,-0.492,-0.205,0.475,0.860,-0.698,1.005,0.525,1.168,-0.439,-0.256,0.308,1.175,-1.953,1.055,0.455,0.016,0.193,-0.851,0.760,-1.286,-0.538,0.916,0.208,-0.401,-0.794,0.499,0.845,-0.734,0.923,-2.722,1.328
193,8.0,7.0,1.0,-0.326,1.597,0.454,0.654,0.607,-0.322,1.928,-0.152,1.731,1.005,-0.426,-2.294,1.195,-0.314,1.123,0.164,0.898,0.365,0.839,2.520,0.239,1.650,2.397,-1.230,0.774,1.452,1.047,-0.837,0.827,0.940,0.481,-2.815,0.276,0.810,1.057,-0.598,-1.997,-0.905,-0.517,-0.454,0.661,0.802,-0.135,0.254,0.475,1.148,-1.148,-0.641,-0.597,1.715
194,27.0,7.0,1.0,0.119,1.360,1.245,-1.261,-0.070,-0.693,1.872,-0.239,0.652,-2.163,-0.139,-0.999,2.003,-0.774,1.983,-0.239,0.885,0.361,-0.310,1.399,0.046,1.550,0.969,-1.025,1.506,0.270,0.022,-0.202,1.325,-1.000,0.406,0.403,0.029,0.465,0.662,-0.341,-0.215,0.172,0.126,-0.542,0.533,-0.403,-0.880,-0.614,0.842,0.362,-0.558,0.796,0.998,0.957
195,23.0,2.0,1.0,0.437,-0.018,-0.371,-1.337,0.335,-1.388,-0.824,-0.366,0.949,-1.701,0.424,-1.766,0.252,-0.259,1.465,0.501,1.945,0.710,0.544,1.675,-0.827,-0.405,-0.575,-1.272,0.448,0.399,0.093,0.851,0.553,-0.604,0.756,-0.348,0.739,-0.463,0.370,0.116,-0.476,0.230,-0.293,-1.179,0.250,0.878,-0.176,-0.182,-0.373,-0.572,-0.125,-0.401,-3.128,1.278
196,17.0,2.0,1.0,-0.639,0.710,-0.627,-1.074,-0.136,0.480,0.398,1.206,0.773,-2.267,-1.975,-0.844,0.618,-1.444,0.364,0.121,0.753,-0.714,0.826,-0.347,-1.416,-0.041,0.599,-0.969,1.041,0.454,0.886,-1.167,0.845,1.540,-1.709,-1.194,-1.743,-0.253,0.778,-0.925,1.112,-0.431,0.317,0.473,0.501,0.751,-0.432,-0.799,0.946,0.597,-1.172,0.543,-0.144,0.477
197,5.0,3.0,1.0,-0.493,1.315,1.001,-1.768,-0.264,-0.388,0.200,0.138,1.116,0.258,-0.118,-0.800,1.353,-0.208,0.570,-0.328,-0.901,0.355,-0.804,0.040,0.527,1.368,1.088,-1.055,1.257,0.133,1.956,-1.045,1.347,-1.256,0.733,-0.683,-2.626,-0.149,0.068,0.204,0.982,-0.745,-0.670,-0.334,0.228,1.614,0.408,0.515,0.125,0.721,-0.930,0.082,-0.388,0.544
198,19.0,6.0,1.0,0.785,0.402,0.696,-1.439,0.046,-1.260,0.843,0.560,0.048,-0.002,-0.268,-0.405,1.263,-0.227,2.980,0.422,-0.663,-1.895,-0.982,0.437,-0.405,0.130,3.513,-0.914,0.439,-0.645,0.254,-3.139,0.342,-0.711,0.136,-0.206,-0.633,-0.056,0.018,-0.113,-1.322,0.039,0.746,0.297,-0.250,1.626,0.612,-0.237,-1.817,-0.261,0.438,0.977,-0.116,1.375
199,6.0,2.0,1.0,0.980,0.595,-0.656,-0.577,-1.036,0.040,1.318,-0.599,-0.077,-1.006,-2.020,-1.275,-0.119,-0.855,0.603,0.624,1.080,0.930,0.395,-1.827,-0.330,0.519,0.106,0.019,0.236,-1.192,0.049,-0.430,-0.312,-0.064,0.114,-0.136,1.520,-1.786,2.155,0.002,1.969,-0.926,-0.291,0.842,0.635,3.460,0.360,0.463,-0.116,0.891,-0.559,0.259,-2.430,1.010
200,1.0,3.0,1.0,0.991,0.537,0.879,-2.903,-0.671,-0.645,0.004,0.174,0.375,-0.906,-0.465,-0.791,-0.193,-0.003,0.465,0.534,1.009,1.638,-0.977,1.569,-0.015,-0.356,2.955,-0.022,0.137,1.057,0.179,-0.768,-0.977,2.013,-1.107,0.013,-0.299,1.827,0.847,1.154,-0.395,-0.204,0.667,0.303,0.452,-0.172,1.360,0.217,1.184,1.287,-0.634,0.803,0.898,1.207
201,15.0,4.0,1.0,-0.367,1.180,1.488,-1.431,-1.371,0.394,0.940,-0.265,1.029,-0.369,-0.700,-0.512,0.398,-0.846,1.744,0.763,0.978,0.191,0.069,0.072,-1.560,1.448,0.873,-0.967,0.959,-0.197,0.635,-1.497,-0.007,0.335,0.923,-1.674,0.796,0.111,1.344,0.538,0.907,-0.494,0.658,0.143,1.322,0.336,-1.731,0.386,-0.415,0.913,-2.147,-0.349,-0.393,0.946
202,2.0,3.0,1.0,0.538,-0.049,0.977,-1.445,0.784,0.053,0.694,-0.713,0.117,0.361,-1.037,-1.629,-0.086,-0.592,0.107,0.908,1.837,1.409,-0.936,0.322,0.668,0.813,1.686,-1.317,0.035,0.724,0.571,0.065,0.307,0.293,-0.653,1.264,0.880,-0.798,1.015,0.216,-2.972,0.115,0.022,-1.134,1.624,0.313,1.402,-0.697,-0.404,0.182,0.808,0.916,-1.010,0.592
203,26.0,1.0,10.0,0.833,1.215,0.184,0.612,0.219,5.252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,27.0,6.0,1.0,-0.286,0.089,-0.773,0.078,-0.342,0.055,0.854,-1.198,0.810,-1.420,0.134,-1.221,-0.451,-0.231,0.204,-0.204,0.405,1.895,-0.450,1.094,-0.682,0.253,1.281,-0.126,1.023,-0.317,0.031,0.104,0.744,0.254,0.440,-0.002,-0.594,0.558,1.082,-0.984,0.036,-0.228,-0.943,0.350,0.830,-1.048,-0.389,0.092,-0.407,0.443,0.150,0.252,-2.007,1.293
205,31.0,3.0,1.0,0.340,0.239,-0.099,-3.624,1.203,-0.379,0.017,-2.662,2.233,-1.133,-1.089,-1.833,0.456,-1.461,2.136,0.083,0.568,-0.323,-0.414,-1.271,1.110,-0.180,0.680,-1.111,-0.464,0.282,2.089,-0.104,0.047,0.805,1.567,-1.002,0.739,0.650,-0.401,-1.883,-0.783,0.016,0.259,-0.827,0.438,-1.286,0.347,0.192,-0.392,0.712,-0.533,1.148,-1.442,0.442
206,31.0,10.0,1.0,-0.754,1.825,1.181,0.184,-1.100,0.158,1.400,-0.707,1.132,0.445,-0.623,-1.719,0.478,-0.911,0.849,0.882,0.023,-0.093,0.596,0.780,-0.919,0.582,1.030,-0.675,0.763,0.990,0.408,-1.805,-0.095,-0.722,1.442,-0.584,0.366,1.345,1.503,-0.623,-0.290,0.110,-0.107,-1.113,1.518,-1.143,-0.646,-0.376,-1.485,0.848,0.216,0.845,-1.702,0.659
207,3.0,1.0,1.0,-1.225,2.366,1.230,0.031,-0.577,-0.824,1.176,0.096,1.711,-0.733,-0.458,-1.080,0.790,0.508,0.513,0.806,0.733,2.629,-1.214,-1.460,-0.546,-0.081,2.549,-0.037,1.336,1.609,0.425,-0.992,0.654,2.700,-0.108,-2.160,-0.874,0.839,0.421,-0.232,-0.823,-0.034,0.379,-0.803,-0.762,0.957,0.276,-0.400,0.375,0.997,-0.647,0.007,-1.445,1.535
208,31.0,6.0,1.0,-1.382,0.524,-0.193,-1.085,1.449,-0.271,0.976,0.482,1.121,-1.145,0.970,-1.758,0.454,-0.197,0.959,1.008,-0.359,0.439,-1.065,0.522,0.081,-0.328,-0.028,-0.476,2.492,0.516,1.798,-0.424,0.886,-0.081,1.330,-0.816,-0.269,-0.073,0.744,0.230,-0.723,-0.383,0.991,-0.570,-0.246,0.409,-0.025,0.627,0.779,0.167,-1.797,-0.022,-0.852,1.431
209,6.0,3.0,1.0,0.860,0.373,-1.840,-0.838,0.292,-0.219,1.144,-2.069,1.929,-1.107,-0.193,-1.054,1.193,0.021,0.706,1.568,-0.055,1.759,-0.094,1.398,-0.114,-0.265,0.687,-0.779,0.470,-0.671,1.359,-0.136,-0.306,0.148,0.744,-1.154,-1.171,0.035,-0.131,-0.157,-0.634,-0.956,0.458,-1.886,-0.185,0.088,-0.262,-0.393,-0.212,0.403,0.533,0.713,-1.684,1.245
210,4.0,10.0,1.0,-0.348,0.504,-0.490,-0.924,1.252,0.013,1.043,-0.481,1.148,-1.933,0.213,-1.623,0.478,-0.601,1.542,0.167,-0.038,2.025,-0.214,-1.314,-0.852,-0.314,0.816,-0.360,1.159,-0.143,1.463,-0.870,0.527,1.657,0.876,-2.562,1.462,1.771,1.432,-0.339,-0.327,-0.343,-0.766,0.317,0.363,1.702,0.546,-0.404,-1.866,0.437,-0.488,-0.696,-0.643,0.224
211,23.0,9.0,1.0,-0.356,1.651,1.544,0.235,-2.172,0.653,1.446,-0.361,0.218,-2.005,-0.272,-0.634,1.196,-0.866,-1.291,-0.035,0.263,2.435,-0.254,0.133,0.219,0.806,1.159,-0.683,1.481,0.854,1.127,0.085,1.069,0.607,0.492,-0.342,0.021,0.640,1.794,0.094,-0.953,0.802,1.029,0.106,0.286,0.053,-0.439,1.242,0.951,0.106,0.195,-0.389,-1.750,0.906
212,12.0,1.0,15.0,0.032,0.950,2.233,-0.774,-1.232,0.252,0.746,-1.270,1.419,0.123,-1.638,-1.689,1.526,-0.694,0.298,0.417,2.439,-0.158,-1.135,-0.182,-0.809,0.753,-0.119,-0.505,1.398,1.034,0.022,-1.107,0.008,1.760,9.925,,,,,,,,,,,,,,,,,,,
213,18.0,3.0,18.0,-0.632,1.552,1.211,-0.855,0.470,-0.509,0.276,0.432,0.041,-0.869,-2.091,-1.098,0.821,0.001,-0.387,1.424,1.222,-0.129,0.036,-0.459,0.011,0.647,1.272,-0.917,1.174,1.252,0.833,-3.060,0.870,1.051,0.362,-2.112,-0.472,-0.632,-0.697,0.576,0.911,-0.828,-0.569,-1.527,0.593,0.735,-0.386,-0.145,0.527,-0.281,-8.231,,,
214,13.0,9.0,1.0,-0.115,0.598,0.760,-0.990,0.223,-0.134,-0.088,1.931,1.183,0.263,-2.849,-0.520,1.534,-0.382,-0.081,0.369,0.037,-1.193,-0.808,-0.488,-0.411,0.093,-0.124,-1.039,0.608,-0.290,-0.590,-0.839,1.138,-1.025,1.124,-2.531,0.069,-0.772,0.986,-1.250,-0.660,0.089,-0.875,-0.381,0.565,0.476,-0.271,0.651,0.591,0.467,-1.431,0.931,-1.031,0.446
215,22.0,10.0,1.0,0.221,1.579,1.940,-1.464,-0.731,0.220,0.716,-0.882,0.877,-0.680,0.763,0.121,1.691,-0.186,-0.867,-0.398,0.081,1.206,-0.155,0.632,-1.426,1.290,-0.484,-1.322,1.225,0.460,1.147,-0.983,0.322,2.062,0.397,-1.728,0.188,0.717,0.263,0.077,1.009,-0.311,0.661,0.817,1.625,-0.415,0.466,0.365,0.454,0.677,-0.065,1.530,0.598,1.181
216,31.0,7.0,1.0,0.169,-0.259,1.289,-1.978,-0.523,-0.520,1.020,-1.651,2.081,0.029,-0.814,-0.627,1.866,0.833,1.363,0.934,0.854,1.222,-0.533,0.763,-1.137,0.134,0.904,-1.317,-0.723,0.769,0.903,-1.457,2.209,0.588,1.346,-0.401,-0.417,1.959,0.832,-0.401,-2.008,-0.722,0.481,-1.014,0.268,-0.107,0.556,0.018,-0.886,1.390,-0.085,-0.551,-2.267,1.261
217,31.0,9.0,1.0,-1.072,0.679,-0.105,-0.889,0.256,0.397,0.905,-1.455,2.350,-0.520,-0.186,-0.910,1.222,0.103,-1.133,0.324,0.013,0.948,-0.184,0.836,0.610,0.843,0.316,-1.322,-0.649,0.029,1.751,-0.569,2.202,-1.139,-0.104,-1.820,-1.029,1.022,2.473,-0.188,-1.175,0.604,0.771,-0.826,1.010,0.005,0.334,0.526,-0.883,-0.576,-0.100,1.211,-1.982,1.629
218,28.0,8.0,1.0,0.363,0.455,-0.645,0.285,0.989,0.349,0.638,-1.735,2.928,-1.204,-0.631,-0.660,0.459,0.241,1.612,-0.131,-0.371,0.637,-0.999,0.678,-0.708,0.812,0.257,-0.778,0.474,-0.808,1.125,0.634,0.017,-0.848,1.107,-1.576,0.507,1.307,0.766,-0.820,-1.572,-0.901,0.373,-1.952,-0.680,1.211,0.787,-0.921,-0.380,-0.363,0.148,0.155,-0.153,0.175
219,27.0,1.0,1.0,-1.649,0.158,-0.156,-0.824,0.178,-0.356,1.244,1.108,0.135,-0.264,-0.250,-0.907,0.281,-1.055,2.001,0.672,1.314,0.241,-0.361,-0.084,-0.421,0.782,-1.155,0.149,1.408,0.218,1.106,-1.261,1.405,1.105,0.361,-1.588,0.653,0.191,1.546,-0.806,-0.729,-0.326,0.400,0.613,0.620,0.328,-0.429,-1.204,0.702,-0.457,-0.960,-0.221,-2.866,1.454
220,11.0,5.0,1.0,0.228,1.077,0.024,-2.124,-2.254,-0.213,0.006,-0.633,1.078,0.028,-0.914,-0.856,1.163,-0.510,0.468,0.265,0.738,-0.193,-0.215,-0.298,0.027,0.109,0.885,-1.123,0.851,-0.233,0.122,-0.775,0.058,1.301,2.444,-1.037,-0.720,0.030,-0.066,-0.459,-0.738,0.129,-0.437,0.312,0.421,-0.997,0.912,0.567,0.441,0.375,0.036,-0.251,-0.129,1.175
221,7.0,4.0,1.0,-0.151,-0.259,-0.198,-0.367,0.368,-0.115,0.989,-0.703,1.720,-1.407,-2.338,-0.959,0.607,0.442,0.152,0.787,0.549,-0.313,-0.812,-0.403,-0.998,0.562,2.841,-0.137,0.332,-0.317,-0.351,-1.025,2.078,1.759,1.562,1.945,-0.657,0.253,1.519,-0.238,0.552,-0.227,-0.690,-1.308,0.269,1.043,-0.399,-0.797,-1.045,1.107,-1.101,-0.691,-1.071,1.424
222,21.0,9.0,1.0,0.439,0.929,0.355,-1.558,-0.857,0.318,1.349,-1.838,2.119,-0.106,0.275,-0.776,0.399,-0.587,1.046,-0.459,0.981,0.216,-0.071,2.050,0.069,0.885,2.606,0.141,0.851,0.092,0.530,-0.719,0.524,-0.102,1.384,-0.305,-0.066,-0.147,1.158,0.846,-0.757,0.446,0.028,0.356,0.199,1.206,1.618,-0.343,-0.724,0.618,0.613,-0.050,-0.350,-0.139
223,27.0,3.0,11.0,-1.285,0.603,-0.382,-2.563,-0.888,0.645,-0.259,-1.756,-6.286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224,21.0,6.0,1.0,-0.441,0.577,-0.537,-0.010,-0.464,-0.033,0.070,1.452,1.238,0.244,-2.234,-0.828,-0.053,-1.326,1.220,0.961,0.149,1.267,0.066,-0.098,-0.837,0.602,1.506,-0.213,1.093,-0.508,1.043,-0.509,0.865,1.028,0.773,0.301,-0.786,0.602,0.932,0.526,-0.116,0.212,-0.521,-0.866,0.210,0.225,0.594,-0.525,-0.682,0.690,-1.798,0.448,-0.801,0.323
225,10.0,7.0,1.0,0.154,-0.216,0.690,-3.521,0.705,-0.182,0.753,-0.326,1.472,-1.751,-1.478,-2.022,-2.258,-0.164,-0.201,0.769,-0.910,-0.144,-0.592,-0.398,0.091,1.402,0.294,-0.484,0.635,-0.152,0.687,1.593,1.721,1.663,1.077,0.261,-0.316,-0.767,1.573,-0.723,-3.486,0.002,0.841,-1.648,1.139,-1.164,1.220,-0.339,1.668,0.609,-1.174,0.870,0.032,1.528
226,32.0,4.0,1.0,0.878,-0.496,-0.024,-1.573,0.471,-0.030,1.307,0.846,0.212,-1.403,0.541,-0.541,0.567,-0.554,0.287,-0.036,0.306,-0.008,0.292,-0.746,-0.323,-0.627,-0.458,-0.805,1.044,0.237,1.514,-0.630,0.139,-0.428,1.103,0.107,-0.476,0.190,1.467,-0.314,0.523,-0.451,0.201,-0.468,0.368,1.040,0.851,0.421,0.011,0.119,-0.881,0.601,0.132,1.466
227,9.0,9.0,1.0,-0.705,1.267,1.429,-0.985,-0.826,0.348,1.958,-0.609,0.248,-1.102,-0.657,-0.010,1.067,-1.774,1.111,-0.117,0.529,0.312,-0.144,-1.871,-0.367,0.127,0.555,-0.852,0.149,0.014,0.423,-0.635,3.477,0.802,-0.859,0.182,-0.195,-0.497,0.349,-0.561,-0.397,0.307,0.577,-0.106,0.200,0.454,1.662,0.612,0.136,-0.008,0.243,-0.466,-0.703,-0.224
228,4.0,9.0,1.0,-0.922,-0.541,1.231,-1.304,-0.900,-0.315,0.693,0.009,-0.392,-1.226,-0.213,-0.672,0.912,0.354,0.156,-0.015,0.091,-0.780,-0.684,-0.308,-0.041,0.742,-0.885,-0.481,0.225,0.628,0.308,-1.189,0.948,0.820,0.859,-0.543,0.614,0.346,0.539,0.186,2.193,-1.547,-0.824,-0.587,1.508,-0.473,0.967,0.410,-1.092,-0.309,-1.110,0.166,0.131,1.339
229,3.0,3.0,1.0,0.072,-0.621,1.358,0.260,-0.314,-0.380,0.606,0.846,0.726,-2.478,-2.147,-0.651,0.988,-1.145,0.630,1.092,1.173,1.160,-0.906,-0.548,0.122,-0.024,2.892,-0.264,0.608,0.870,-0.100,-0.669,0.192,1.634,1.676,-0.082,-0.570,0.881,1.175,0.377,-0.671,-0.557,0.677,0.082,0.176,-0.011,-0.899,0.155,1.610,1.821,-0.691,-0.031,1.121,-0.377
230,16.0,7.0,1.0,1.687,0.177,0.815,-0.355,0.520,-0.110,0.291,-0.793,0.815,-0.059,-0.522,-0.750,0.248,-0.777,0.057,1.283,-0.492,-0.529,-0.942,0.426,0.576,1.288,2.332,-0.227,0.279,1.161,0.410,-2.447,-0.368,0.529,0.153,-1.747,0.267,0.484,0.940,-0.327,0.032,-0.264,-0.127,-1.549,0.969,-1.002,-0.395,-0.134,-0.232,0.454,-2.419,-0.626,-2.485,-0.791
231,27.0,4.0,1.0,0.187,1.147,-0.343,-0.950,1.021,0.149,0.829,-0.924,0.772,-0.362,0.496,-1.176,-0.333,-1.307,2.427,0.464,0.368,0.867,-0.499,-1.684,-1.495,0.551,3.195,0.439,0.203,1.664,1.434,-2.022,1.491,-0.947,-1.666,0.347,0.672,0.051,1.770,-0.018,0.538,-0.435,-1.094,-1.055,0.753,1.367,-0.394,-0.865,-0.766,-0.352,-1.611,-0.504,0.279,-0.009
